id,atm_group,bank_name,Is_24_7,Contactless_technologies,QR-codes,USD,EUR,Cash_In,Cash_Out,Non-cash_pay,Account_statement,Acсess_for_disabled,Transfer_p2p,Transfer_a2a,Loan_pay
2.0,32.0,УРАЛСИБ БАНК,False,False,False,False,False,False,False,False,False,False,False,False,False
3.0,1022.0,АК Барс,False,False,False,False,False,False,False,False,False,False,False,False,False
4.0,496.5,Россельхозбанк,False,False,False,False,False,True,True,False,True,True,True,False,False
9.0,496.5,Россельхозбанк,False,True,True,False,False,True,True,True,True,True,True,False,False
11.0,496.5,Россельхозбанк,False,True,True,False,False,True,True,True,True,False,True,False,False
17.0,496.5,Россельхозбанк,True,False,False,False,False,True,True,False,True,True,True,False,False
19.0,496.5,Россельхозбанк,False,False,False,False,False,True,True,False,True,True,True,False,False
20.0,496.5,Россельхозбанк,False,False,False,False,False,False,False,False,False,False,False,False,False
22.0,496.5,Россельхозбанк,False,True,True,False,False,True,True,True,True,True,True,False,False
27.0,496.5,Россельхозбанк,True,True,True,False,False,True,True,True,True,True,True,False,False
33.0,496.5,Россельхозбанк,True,True,True,False,False,True,True,True,True,True,True,False,False
42.0,32.0,УРАЛСИБ БАНК,True,True,False,False,False,False,True,True,False,False,False,False,False
46.0,32.0,УРАЛСИБ БАНК,True,False,False,False,False,True,True,False,False,False,False,False,False
56.0,496.5,Россельхозбанк,False,False,False,False,False,True,True,False,True,False,True,False,False
60.0,496.5,Россельхозбанк,False,True,True,False,False,True,True,True,True,False,True,False,False
74.0,496.5,Россельхозбанк,False,False,False,False,False,True,True,False,True,True,True,False,False
88.0,496.5,Россельхозбанк,True,False,False,False,False,True,True,False,True,False,True,False,False
90.0,496.5,Россельхозбанк,False,False,False,False,False,True,True,False,True,True,True,False,False
92.0,496.5,Россельхозбанк,True,True,True,False,False,True,True,True,True,False,True,False,False
94.0,496.5,Россельхозбанк,False,False,False,False,False,True,True,True,True,False,True,False,False
95.0,496.5,Россельхозбанк,False,True,True,False,False,True,True,True,True,True,True,False,False
103.0,496.5,Россельхозбанк,False,True,True,False,False,True,True,True,True,True,True,False,False
105.0,496.5,Россельхозбанк,False,True,True,False,False,True,True,True,True,True,True,False,False
108.0,496.5,Россельхозбанк,False,False,False,False,False,True,True,True,True,True,True,False,False
109.0,496.5,Россельхозбанк,True,False,False,False,False,True,True,False,True,False,True,False,False
111.0,496.5,Россельхозбанк,True,False,False,False,False,True,True,False,True,True,True,False,False
116.0,496.5,Россельхозбанк,False,False,False,False,False,False,True,False,True,True,True,False,False
118.0,496.5,Россельхозбанк,True,True,True,False,False,True,True,True,True,True,True,False,False
129.0,496.5,Россельхозбанк,False,False,False,False,False,True,True,False,True,True,True,False,False
133.0,496.5,Россельхозбанк,True,True,True,False,False,True,True,True,True,False,True,False,False
135.0,496.5,Россельхозбанк,False,False,False,False,False,False,True,False,True,True,True,False,False
141.0,496.5,Россельхозбанк,True,False,False,False,False,True,True,False,True,True,True,False,False
149.0,496.5,Россельхозбанк,False,True,True,False,False,True,True,True,True,True,True,False,False
150.0,496.5,Россельхозбанк,False,True,True,False,False,True,True,True,True,False,True,False,False
152.0,1022.0,АК Барс,False,True,True,False,False,True,True,True,False,False,False,False,False
155.0,1022.0,АК Барс,False,False,False,False,False,False,False,False,False,False,False,False,False
156.0,1022.0,АК Барс,False,False,False,False,False,False,False,False,False,False,False,False,False
167.0,1942.0,Альфа-Банк,False,True,False,False,True,True,True,False,False,False,True,True,True
177.0,1942.0,Альфа-Банк,False,True,False,True,True,True,True,True,False,True,True,True,True
178.0,1942.0,Альфа-Банк,False,True,False,True,True,True,True,True,False,True,True,True,True
182.0,1942.0,Альфа-Банк,False,True,False,True,True,True,True,True,False,False,True,True,True
183.0,1942.0,Альфа-Банк,False,True,False,True,True,True,True,True,False,False,True,True,True
187.0,1942.0,Альфа-Банк,False,True,False,True,True,True,True,True,False,False,True,True,True
190.0,1942.0,Альфа-Банк,False,True,False,True,True,True,True,True,False,True,True,True,True
191.0,1942.0,Альфа-Банк,False,True,False,True,True,True,True,True,False,False,True,True,True
193.0,1942.0,Альфа-Банк,False,True,False,False,True,True,True,False,False,False,True,True,True
201.0,1942.0,Альфа-Банк,False,True,False,False,True,True,True,False,False,False,True,True,True
205.0,1942.0,Альфа-Банк,False,True,False,False,True,True,True,False,False,False,True,True,True
208.0,1942.0,Альфа-Банк,True,True,False,False,True,True,True,False,False,True,True,True,True
216.0,1942.0,Альфа-Банк,False,True,False,True,True,True,True,True,False,True,True,True,True
223.0,1942.0,Альфа-Банк,True,True,False,True,True,True,True,True,False,False,True,True,True
224.0,1942.0,Альфа-Банк,False,True,False,False,True,True,True,False,False,False,True,True,True
227.0,1942.0,Альфа-Банк,False,True,False,True,True,True,True,True,False,False,True,True,True
233.0,1942.0,Альфа-Банк,False,True,False,False,True,True,True,False,False,False,True,True,True
244.0,1942.0,Альфа-Банк,False,True,False,True,True,True,True,True,False,False,True,True,True
245.0,1942.0,Альфа-Банк,True,True,False,False,True,True,True,False,False,True,True,True,True
254.0,1942.0,Альфа-Банк,False,True,False,False,True,True,True,False,False,True,True,True,True
263.0,1942.0,Альфа-Банк,True,True,False,True,True,True,True,True,False,True,True,True,True
265.0,1942.0,Альфа-Банк,False,True,False,False,True,True,True,False,False,False,True,True,True
269.0,1942.0,Альфа-Банк,False,True,False,True,True,True,True,True,False,False,True,True,True
270.0,1942.0,Альфа-Банк,False,True,False,True,True,True,True,True,False,False,True,True,True
271.0,1942.0,Альфа-Банк,False,True,False,False,True,True,True,False,False,False,True,True,True
272.0,1942.0,Альфа-Банк,False,True,False,False,True,True,True,False,False,False,True,True,True
277.0,1942.0,Альфа-Банк,True,True,False,False,True,True,True,False,False,True,True,True,True
278.0,1942.0,Альфа-Банк,True,True,False,False,True,True,True,False,False,True,True,True,True
282.0,1942.0,Альфа-Банк,True,True,False,False,True,True,True,False,True,True,True,True,True
320.0,1022.0,АК Барс,True,False,False,False,False,False,False,False,False,False,False,False,False
321.0,1022.0,АК Барс,False,False,False,False,False,False,False,False,False,False,False,False,False
326.0,1022.0,АК Барс,False,False,False,False,False,False,False,False,False,False,False,False,False
334.0,1022.0,АК Барс,True,False,False,False,False,False,False,False,False,False,False,False,False
336.0,1022.0,АК Барс,True,False,False,False,False,False,False,False,False,False,False,False,False
338.0,1022.0,АК Барс,False,False,False,False,False,False,False,False,False,False,False,False,False
340.0,1022.0,АК Барс,False,False,False,False,False,False,False,False,False,False,False,False,False
341.0,1022.0,АК Барс,False,False,True,False,False,True,True,True,False,False,False,False,False
348.0,1022.0,АК Барс,True,False,True,False,False,True,True,True,False,False,False,False,False
349.0,1022.0,АК Барс,False,False,False,False,False,False,False,False,False,False,False,False,False
374.0,3185.5,Газпромбанк,False,False,False,False,False,True,False,False,False,False,False,False,False
384.0,3185.5,Газпромбанк,False,True,False,False,False,False,True,True,False,False,False,False,False
395.0,1942.0,Альфа-Банк,False,True,False,False,True,True,True,False,False,False,True,True,True
400.0,1942.0,Альфа-Банк,True,True,False,True,True,True,True,True,False,False,True,True,True
404.0,1942.0,Альфа-Банк,True,True,False,False,True,True,True,False,False,True,True,True,True
410.0,1942.0,Альфа-Банк,False,True,False,False,True,True,True,False,False,False,True,True,True
414.0,1942.0,Альфа-Банк,False,False,False,False,True,True,True,False,False,False,True,True,True
416.0,1942.0,Альфа-Банк,False,True,False,False,True,True,True,False,False,False,True,True,True
420.0,1942.0,Альфа-Банк,True,True,False,True,True,True,True,True,False,False,True,True,True
422.0,1942.0,Альфа-Банк,False,False,False,False,False,False,False,False,False,False,False,False,False
425.0,1942.0,Альфа-Банк,False,True,False,True,True,True,True,True,True,False,True,True,True
432.0,1942.0,Альфа-Банк,True,True,False,False,True,True,True,False,False,False,True,True,True
433.0,1942.0,Альфа-Банк,True,True,False,False,True,True,True,False,False,False,True,True,True
439.0,1942.0,Альфа-Банк,False,True,False,True,True,True,True,True,False,False,True,True,True
441.0,1942.0,Альфа-Банк,False,True,False,False,True,True,True,False,False,False,True,True,True
447.0,1942.0,Альфа-Банк,True,True,False,True,True,True,True,True,False,False,True,True,True
453.0,1942.0,Альфа-Банк,False,True,False,True,True,True,True,True,False,False,True,True,True
459.0,1942.0,Альфа-Банк,True,True,False,True,True,True,True,True,True,False,True,True,True
464.0,1942.0,Альфа-Банк,False,True,False,False,True,True,True,False,False,False,True,True,True
471.0,1942.0,Альфа-Банк,False,True,False,True,True,True,True,True,False,False,True,True,True
480.0,1942.0,Альфа-Банк,False,True,False,False,True,True,True,False,False,False,True,True,True
482.0,1942.0,Альфа-Банк,False,True,False,False,True,True,True,False,False,True,True,True,True
483.0,1942.0,Альфа-Банк,False,True,False,False,True,True,True,False,False,False,True,True,True
484.0,1942.0,Альфа-Банк,True,True,False,True,True,True,True,True,False,True,True,True,True
490.0,1942.0,Альфа-Банк,True,True,False,False,True,True,True,False,False,False,True,True,True
500.0,1942.0,Альфа-Банк,False,True,False,False,True,False,True,False,False,True,True,True,True
