atm_id;atm_lat;atm_lon;nearest_malls_name;nearest_malls_dist_m;count_malls_100m;count_malls_300m;count_malls_500m;nearest_supermarkets_name;nearest_supermarkets_dist_m;count_supermarkets_100m;count_supermarkets_300m;count_supermarkets_500m;nearest_pharmacies_hospitals_name;nearest_pharmacies_hospitals_dist_m;count_pharmacies_hospitals_100m;count_pharmacies_hospitals_300m;count_pharmacies_hospitals_500m;count_banks_atms_100m;count_banks_atms_300m;count_banks_atms_500m;competitor_count_total
1.0;59.928916;30.353382;Olympic Plaza;149.1;0;1;5;Ароматный мир;78.0;1;11;29;Академическая Медицина;112.3;0;9;31;0;14;84;114.0
2.0;59.917619;30.346887;ТРК «Лиговъ»;330.6;0;0;2;Ароматный мир;74.7;2;7;19;Аптека на Боровой;194.7;0;2;12;0;3;37;50.0
3.0;55.807779;49.443201;Нет объектов;;0;0;0;Глобус маркет;107.7;0;2;3;Вита Экспресс;120.6;0;1;1;0;1;1;2.0
4.0;46.309498;44.270019;Не удалось узнать название;59.7;3;10;21;Покупочка;51.5;1;6;11;Детский доктор;3.1;3;6;14;9;16;22;22.0
5.0;46.318231;44.260605;"Торговый центр ""Альянс""";928.7;0;0;0;Пятёрочка;364.3;0;0;2;Асторат;242.6;0;2;12;1;2;5;12.0
6.0;54.270443;48.300652;Альянс-Свияга;8.7;1;1;2;Гулливер;16.3;2;9;16;Вита Экспресс;26.2;2;8;10;0;2;4;5.0
7.0;48.520497;135.052594;Нет объектов;;0;0;0;Раз Два;17.2;1;2;2;Юнилаб;178.0;0;2;2;1;2;2;2.0
8.0;62.025566;129.721308;Оптимист;17.2;0;0;0;Три толстяка;379.1;0;0;1;Детская городская больница;274.9;0;2;7;0;2;5;8.0
9.0;51.550042;46.00039;Привоз;653.9;0;0;0;Магнит;432.0;0;0;2;Сириус-А;413.0;0;0;1;0;0;12;12.0
10.0;50.090714;118.02748;Нет объектов;;0;0;0;Фирменый;336.8;0;0;1;Не удалось узнать название;179.3;0;4;6;2;4;5;7.0
11.0;51.642905;39.409622;Нет объектов;;0;0;0;Пятёрочка;39.3;1;4;6;"Аптека ""Забота""";47.2;1;5;6;2;7;7;7.0
12.0;57.769478;40.930847;Не удалось узнать название;544.6;0;0;0;Пятёрочка;408.8;0;0;2;Центр амбулаторной хирургии;111.8;0;6;10;4;4;8;13.0
13.0;52.540568;85.221734;ТРЦ Воскресенье;508.1;0;0;0;Мария-Ра;29.6;1;2;2;Не удалось узнать название;16.6;1;3;3;3;7;8;13.0
14.0;53.530257;33.719225;Нет объектов;;0;0;0;Пятёрочка;214.3;0;1;2;32 Партнёр плюс;5.8;4;6;9;1;1;4;5.0
15.0;53.60189;34.332083;Адмирал;177.2;0;1;2;Пятёрочка;87.2;1;4;7;Аптека;372.1;0;0;1;0;0;1;3.0
16.0;55.93665;39.456783;Не удалось узнать название;23.8;1;1;2;Пятёрочка;16.3;2;2;6;Витаминка;21.7;1;2;6;0;0;4;4.0
17.0;51.762129;36.184553;МегаГринн;29.5;1;1;1;Линия 24;70.0;1;1;1;Пивная;176.4;0;4;8;0;3;7;21.0
18.0;56.108954;40.344067;Торговый центр ПЛЮС;379.5;0;0;2;Бристоль;16.1;2;6;15;Столички;13.1;3;9;15;4;8;10;12.0
19.0;55.270415;37.893966;"ТЦ ""Барыбино""";198.3;0;1;1;Магнит;3.7;2;5;5;Горздрав;8.5;2;4;4;1;2;2;2.0
20.0;51.690001;94.568668;Нет объектов;;0;0;0;Нет объектов;;0;0;0;Нет объектов;;0;0;0;0;0;0;0.0
21.0;55.380109;39.039273;Егорьевский пассаж;103.2;0;1;5;Не удалось узнать название;32.5;1;3;10;Мир здоровья;90.8;1;3;9;1;10;16;19.0
22.0;55.370871;39.058263;Гранд;1.2;1;3;4;Пятёрочка;67.7;1;4;8;Не удалось узнать название;71.2;1;5;13;0;0;1;3.0
23.0;59.542338;30.880531;Март;142.0;0;3;4;Красное&Белое;123.6;0;4;6;Аптека №1;29.8;1;5;7;2;5;8;11.0
24.0;48.458832;135.089677;Brosko Volna;691.3;0;0;0;Раз Два;1.5;1;1;3;Не удалось узнать название;93.3;1;3;3;1;1;1;2.0
25.0;55.319064;89.839928;Нет объектов;;0;0;0;Нет объектов;;0;0;0;Не удалось узнать название;192.9;0;1;2;1;1;1;3.0
26.0;55.751817;37.599292;Lotte Plaza;931.3;0;0;0;Ароматный мир;112.9;0;2;6;36,6;113.0;0;8;22;3;11;21;30.0
27.0;57.782465;40.878843;Нет объектов;;0;0;0;Пятёрочка;207.2;0;1;1;Нет объектов;;0;0;0;0;0;0;0.0
28.0;55.78689;49.160133;Нет объектов;;0;0;0;Пятёрочка;53.5;2;3;9;Нет объектов;;0;0;0;3;4;7;17.0
29.0;54.740891;35.225574;Весна;245.3;0;1;2;Союз;159.6;0;1;6;Аптека;128.1;0;5;6;0;4;4;4.0
30.0;68.81876;32.690403;Нет объектов;;0;0;0;Магнит;128.2;0;2;2;Амбулатория;225.4;0;1;1;0;0;0;0.0
31.0;54.004162;86.706325;Сибиркий городок;157.1;0;1;1;Нет объектов;;0;0;0;Фармакопейка;383.9;0;0;1;0;0;0;0.0
32.0;51.809608;107.646189;ТРЦ Два Кита;1027.0;0;0;0;Виноград;660.6;0;0;0;Юнилаб;663.0;0;0;0;1;3;3;3.0
33.0;69.02085;33.093064;"ТЦ ""Восток""";286.9;0;1;1;Магнит;7.2;1;2;7;ЕвроФарма;27.6;1;2;6;1;1;6;6.0
34.0;55.836378;49.103953;Новинка;721.0;0;0;0;Магнит;36.1;4;5;12;Фармленд;52.8;3;8;10;6;9;10;17.0
35.0;69.495086;88.374739;Нет объектов;;0;0;0;Солнечный;5.3;1;1;4;Пульс;19.9;1;3;4;2;2;7;7.0
36.0;53.5193;49.416468;Не удалось узнать название;366.9;0;0;5;Пятёрочка;108.7;0;1;7;Апрель;362.6;0;0;4;1;1;3;6.0
37.0;69.343544;88.211228;Горняк;847.4;0;0;0;Гурман;355.7;0;0;2;Не удалось узнать название;103.6;0;3;3;0;1;4;10.0
38.0;69.491704;88.380821;Нет объектов;;0;0;0;Зеленая линия;52.6;1;4;5;Губернские аптеки;168.0;0;1;5;1;6;8;12.0
39.0;69.350498;87.755207;Торговый центр;50.7;1;1;1;Материк;36.9;2;3;3;Я+аптека;105.7;0;2;3;0;1;1;1.0
40.0;69.356575;88.205551;Нет объектов;;0;0;0;Океан;163.7;0;1;4;Северная;178.5;0;2;2;0;2;2;3.0
41.0;51.705247;94.40575;Нет объектов;;0;0;0;Не удалось узнать название;617.0;0;0;0;Нефрологический центр;571.4;0;0;0;0;0;0;0.0
42.0;55.807592;37.504924;Москва-Сокол;362.8;0;0;1;Красное&Белое;153.9;0;2;9;Медсервис;98.7;1;3;5;0;3;11;19.0
43.0;59.241084;39.836097;Нет объектов;;0;0;0;Пятёрочка;446.3;0;0;1;Антей;438.6;0;0;2;0;0;0;2.0
44.0;46.307693;44.272804;Не удалось узнать название;295.8;0;1;10;Гранд;45.1;2;2;6;Вита Экспресс;176.8;0;4;9;1;11;15;21.0
45.0;46.32687;48.039754;Не удалось узнать название;865.6;0;0;0;Магнит;376.8;0;0;2;Не удалось узнать название;173.3;0;3;7;0;3;4;4.0
46.0;58.522566;31.287558;ТРК Триада;805.1;0;0;0;Магнит;2.6;3;4;7;Не удалось узнать название;84.3;1;4;8;0;5;6;11.0
47.0;51.720682;94.436616;Не удалось узнать название;410.0;0;0;3;Серебряный шар;403.1;0;0;2;Не удалось узнать название;133.6;0;4;5;0;7;12;11.0
48.0;45.071529;39.004418;Квадрат;717.9;0;0;0;Магнит;2.4;1;1;1;Магнит Аптека;25.6;1;4;6;4;10;13;16.0
50.0;59.128145;37.91549;Сфера;230.1;0;1;6;Магнит;200.5;0;5;11;Антей;215.8;0;3;9;0;4;8;15.0
51.0;51.698593;94.419826;"""Пять звезд""";462.9;0;0;1;Нет объектов;;0;0;0;Нет объектов;;0;0;0;0;0;0;0.0
52.0;56.49455;84.948646;Вернисаж;5.1;4;6;10;Винотека;215.6;0;1;1;Центральная;92.2;1;9;17;6;16;23;32.0
53.0;53.056274;158.636344;ПерекуCity;75.3;1;6;7;Ретро;229.7;0;3;8;Фармация;28.1;1;6;17;2;9;25;27.0
54.0;66.674855;34.338838;Нет объектов;;0;0;0;Дикси;226.3;0;1;2;Не удалось узнать название;179.3;0;2;3;0;2;2;2.0
55.0;67.153019;32.414952;Плаза;10.2;1;1;3;Центр Медтехники;61.9;2;11;19;Аптека №1;116.7;0;8;9;0;5;9;9.0
56.0;68.888479;33.097349;ТЦ Флагман;14.4;1;2;2;Перекрёсток;33.9;1;8;13;Формула Здоровья;80.8;2;6;6;4;5;5;5.0
57.0;55.090402;90.851772;Нет объектов;;0;0;0;Нет объектов;;0;0;0;Нет объектов;;0;0;0;0;0;0;0.0
59.0;44.576938;132.826623;Не удалось узнать название;74.9;0;0;0;Винлаб;122.6;0;2;2;Не удалось узнать название;89.9;1;1;1;0;0;0;0.0
60.0;53.706886;91.702081;Не удалось узнать название;140.7;0;3;3;Не удалось узнать название;633.3;0;0;0;Нет объектов;;0;0;0;0;0;3;3.0
