atm_id,education_nearest_dist_m,education_farthest_dist_m,education_total_count,count_education_50m,count_education_100m,count_education_300m,subway_nearest_dist_m,subway_farthest_dist_m,subway_total_count,count_subway_50m,count_subway_100m,count_subway_300m,post_office_nearest_dist_m,post_office_farthest_dist_m,post_office_total_count,count_post_office_50m,count_post_office_100m,count_post_office_300m,bank_nearest_dist_m,bank_farthest_dist_m,bank_total_count,count_bank_50m,count_bank_100m,count_bank_300m,competitor_count_total,objects_total_300m
1.0,75.0,224.2,2,0,1,2,0.0,0.0,0,0,0,0,102.3,154.0,3,0,0,3,0.0,0.0,0,0,0,0,0,5
2.0,107.5,270.0,3,0,0,3,247.7,247.7,1,0,0,1,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,4
3.0,249.6,249.6,1,0,0,1,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,1
4.0,44.4,222.4,22,2,6,22,0.0,0.0,0,0,0,0,62.6,172.4,2,0,1,2,0.0,0.0,0,0,0,0,0,24
5.0,247.3,247.3,1,0,0,1,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,1
6.0,260.8,260.8,1,0,0,1,0.0,0.0,0,0,0,0,220.4,286.2,2,0,0,2,0.0,0.0,0,0,0,0,0,3
7.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,186.6,249.5,2,0,0,2,0.0,0.0,0,0,0,0,0,2
8.0,195.4,298.9,5,0,0,5,0.0,0.0,0,0,0,0,167.2,167.2,1,0,0,1,0.0,0.0,0,0,0,0,0,6
11.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,146.6,146.6,1,0,0,1,0.0,0.0,0,0,0,0,0,1
12.0,261.8,268.2,2,0,0,2,0.0,0.0,0,0,0,0,170.4,170.4,1,0,0,1,0.0,0.0,0,0,0,0,0,3
13.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,204.4,204.4,1,0,0,1,0.0,0.0,0,0,0,0,0,1
14.0,156.6,173.4,2,0,0,2,0.0,0.0,0,0,0,0,35.4,35.4,1,1,1,1,0.0,0.0,0,0,0,0,0,3
16.0,242.4,242.4,1,0,0,1,0.0,0.0,0,0,0,0,220.7,220.7,1,0,0,1,0.0,0.0,0,0,0,0,0,2
17.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
18.0,235.0,264.8,2,0,0,2,0.0,0.0,0,0,0,0,272.5,272.5,1,0,0,1,0.0,0.0,0,0,0,0,0,3
19.0,0.0,0.0,0,0,0,0,126.3,126.3,1,0,0,1,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,1
22.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,290.8,290.8,1,0,0,1,0.0,0.0,0,0,0,0,0,1
23.0,0.0,0.0,0,0,0,0,256.1,256.1,1,0,0,1,193.9,244.9,7,0,0,7,0.0,0.0,0,0,0,0,0,8
24.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,295.9,295.9,1,0,0,1,0.0,0.0,0,0,0,0,0,1
26.0,209.6,298.9,2,0,0,2,9.2,159.3,4,2,3,4,175.8,176.7,2,0,0,2,0.0,0.0,0,0,0,0,0,10
28.0,201.2,218.6,2,0,0,2,0.0,0.0,0,0,0,0,240.8,240.8,1,0,0,1,0.0,0.0,0,0,0,0,0,4
29.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,117.6,117.6,1,0,0,1,0.0,0.0,0,0,0,0,0,1
30.0,176.6,176.6,1,0,0,1,0.0,0.0,0,0,0,0,99.9,99.9,1,0,1,1,0.0,0.0,0,0,0,0,0,2
31.0,231.0,231.0,1,0,0,1,0.0,0.0,0,0,0,0,297.3,297.3,1,0,0,1,0.0,0.0,0,0,0,0,0,2
32.0,148.8,148.8,1,0,0,1,0.0,0.0,0,0,0,0,173.9,194.1,2,0,0,2,0.0,0.0,0,0,0,0,0,4
33.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,188.8,188.8,1,0,0,1,0.0,0.0,0,0,0,0,0,2
34.0,135.9,295.2,4,0,0,4,112.2,112.2,1,0,0,1,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,5
35.0,171.1,171.1,1,0,0,1,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,1
36.0,175.9,175.9,1,0,0,1,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,1
37.0,38.7,251.0,4,1,1,4,0.0,0.0,0,0,0,0,119.6,119.6,1,0,0,1,0.0,0.0,0,0,0,0,0,5
38.0,74.2,286.4,4,0,1,4,0.0,0.0,0,0,0,0,105.7,105.7,1,0,0,1,0.0,0.0,0,0,0,0,0,5
39.0,207.9,207.9,1,0,0,1,0.0,0.0,0,0,0,0,141.3,141.3,1,0,0,1,0.0,0.0,0,0,0,0,0,2
40.0,88.8,283.4,5,0,1,5,0.0,0.0,0,0,0,0,195.1,292.8,2,0,0,2,0.0,0.0,0,0,0,0,0,7
42.0,0.0,0.0,0,0,0,0,299.5,299.5,1,0,0,1,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,1
44.0,114.3,297.6,15,0,0,15,0.0,0.0,0,0,0,0,286.9,286.9,1,0,0,1,0.0,0.0,0,0,0,0,0,16
45.0,271.1,271.1,1,0,0,1,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,1
46.0,271.4,271.4,1,0,0,1,0.0,0.0,0,0,0,0,273.1,273.1,1,0,0,1,0.0,0.0,0,0,0,0,0,2
47.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0
48.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,189.0,189.0,1,0,0,1,0.0,0.0,0,0,0,0,0,1
50.0,91.3,91.3,1,0,1,1,230.5,230.7,2,0,0,2,149.5,149.5,1,0,0,1,0.0,0.0,0,0,0,0,0,4
52.0,136.6,271.9,2,0,0,2,0.0,0.0,0,0,0,0,239.4,239.4,1,0,0,1,0.0,0.0,0,0,0,0,0,3
53.0,248.9,284.8,2,0,0,2,0.0,0.0,0,0,0,0,34.1,268.8,3,1,1,3,0.0,0.0,0,0,0,0,0,5
54.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,118.6,118.6,1,0,0,1,0.0,0.0,0,0,0,0,0,1
55.0,101.2,295.0,3,0,0,3,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,3
56.0,182.3,190.6,2,0,0,2,0.0,0.0,0,0,0,0,12.8,99.4,3,1,3,3,0.0,0.0,0,0,0,0,0,5
59.0,160.9,178.9,2,0,0,2,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,2
60.0,298.8,298.8,1,0,0,1,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,1
61.0,36.7,36.7,1,1,1,1,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,1
64.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,252.5,252.5,1,0,0,1,0.0,0.0,0,0,0,0,0,1
65.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,225.7,299.1,3,0,0,3,0.0,0.0,0,0,0,0,0,3
66.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,202.7,202.7,1,0,0,1,0.0,0.0,0,0,0,0,0,1
68.0,295.2,295.2,1,0,0,1,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,1
70.0,0.0,0.0,0,0,0,0,111.5,285.8,6,0,0,6,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,6
71.0,263.2,263.2,1,0,0,1,0.0,0.0,0,0,0,0,48.4,161.8,2,1,1,2,0.0,0.0,0,0,0,0,0,3
72.0,71.9,71.9,1,0,1,1,0.0,0.0,0,0,0,0,94.9,94.9,1,0,1,1,0.0,0.0,0,0,0,0,0,2
73.0,141.4,141.4,1,0,0,1,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,1
74.0,299.6,299.6,1,0,0,1,0.0,0.0,0,0,0,0,254.7,254.7,1,0,0,1,0.0,0.0,0,0,0,0,0,2
75.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,245.7,245.7,1,0,0,1,0.0,0.0,0,0,0,0,0,1
77.0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,299.8,299.8,1,0,0,1,0.0,0.0,0,0,0,0,0,1
80.0,149.4,290.0,6,0,0,6,0.0,0.0,0,0,0,0,137.9,137.9,1,0,0,1,0.0,0.0,0,0,0,0,0,7
81.0,203.1,297.4,3,0,0,3,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,3
82.0,286.3,286.3,1,0,0,1,0.0,0.0,0,0,0,0,163.3,176.9,2,0,0,2,0.0,0.0,0,0,0,0,0,3
83.0,230.3,230.3,1,0,0,1,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,1
84.0,68.4,288.3,4,0,1,4,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,4
