id,atm_group,address,geo_address,geo_lon,geo_lat,country,province,area,locality,street,house,target,isTrain
1.0,32.0,"MARATA, 17             S.PETERBURG    ","Россия, Санкт-Петербург, Санкт-Петербург, улица Марата, 17",30.345486,59.921547,Россия,Санкт-Петербург,,Санкт-Петербург,улица Марата,17,,False
2.0,32.0,"TYUSHINA, 11           ST.PETERSBURG  ","Россия, Санкт-Петербург, улица Тюшина, 11",30.346887,59.917619,Россия,Санкт-Петербург,,Санкт-Петербург,улица Тюшина,11,,False
3.0,1022.0,ABB 5 M.DZHALILYA         N.SHIGALEEVO,"Россия, Республика Татарстан (Татарстан), Пестречинский район, Шигалеевское сельское поселение, село Новое Шигалеево, улица Мусы Джалиля, 5",49.443201,55.807779,Россия,Республика Татарстан (Татарстан),Шигалеевское сельское поселение,село Новое Шигалеево,улица Мусы Джалиля,5,,False
4.0,496.5,PUSHKINA 15               ELISTA      ,"Россия, Республика Калмыкия, Элиста, улица А.С. Пушкина, 15",44.270019,46.309498,Россия,Республика Калмыкия,городской округ Элиста,Элиста,улица А.С. Пушкина,15,,False
5.0,496.5,BUDENNOGO 7A              ELISTA      ,"Россия, Республика Калмыкия, Элиста, улица С.М. Будённого, 7А",44.260605,46.318231,Россия,Республика Калмыкия,городской округ Элиста,Элиста,улица С.М. Будённого,7А,0.0199583047962615,True
6.0,496.5,"HO CHI MIHN AVE, 19       ULYANOVSK   ","Россия, Ульяновск, проспект Хо Ши Мина, 19",48.300652,54.270443,Россия,Ульяновская область,городской округ Ульяновск,Ульяновск,проспект Хо Ши Мина,19,-0.0891106194386873,True
7.0,496.5,SHELESTA 116A             KHABAROVSK  ,"Россия, Хабаровск, улица Шелеста, 116А",135.052594,48.520497,Россия,Хабаровский край,городской округ Хабаровск,Хабаровск,улица Шелеста,116А,-0.0487692059789681,True
8.0,496.5,ORDZHONIKIDZE 52          YAKUTSK     ,"Россия, Республика Саха (Якутия), Якутск, улица Орджоникидзе, 52",129.721308,62.025566,Россия,Республика Саха (Якутия),городской округ Якутск,Якутск,улица Орджоникидзе,52,-0.0415451611745217,True
9.0,496.5,3-RD DACHNAYA             SARATOV     ,"Россия, Саратов, Дачная улица, 3",46.00039,51.550042,Россия,Саратовская область,муниципальное образование Саратов,Саратов,Дачная улица,3,,False
10.0,496.5,"VETERANOV AVE, 3          KRASNOKAMENS","Россия, Забайкальский край, Краснокаменск, проспект Ветеранов, 3",118.02748,50.090714,Россия,Забайкальский край,Краснокаменский муниципальный округ,Краснокаменск,проспект Ветеранов,3,0.025479412289185,True
