locality,locality_type,region,population,area_km2,density_per_km2
Москва,город,г. Москва,13104000.0,2561.0,5116.8
Санкт-Петербург,город,г. Санкт-Петербург,5598000.0,1439.0,3890.2
Новосибирск,город,Новосибирская область,1631000.0,505.0,3229.7
Калуга,город,Калужская область,344000.0,168.0,2047.6
Муром,город,Владимирская область,116000.0,51.0,2274.5
Суздаль,город,Владимирская область,9700.0,15.0,646.7
Медынь,город,Калужская область,,,
Стародуб,город,Брянская область,19000.0,26.0,730.8
Покров,город,Владимирская область,18000.0,21.0,857.1
Юрьев-Польский,город,Владимирская область,18000.0,11.0,1636.4
