atm_id,atm_lat,atm_lon,nearest_offices_name,nearest_offices_dist_m,count_offices_100m,count_offices_300m,count_offices_500m,count_offices_1000m,count_payment_terminals_100m,count_payment_terminals_300m,count_payment_terminals_500m,count_payment_terminals_1000m,nearest_payment_terminals_name,nearest_payment_terminals_dist_m,count_money_transfer_100m,count_money_transfer_300m,count_money_transfer_500m,count_money_transfer_1000m,nearest_money_transfer_name,nearest_money_transfer_dist_m,nearest_shops_food_small_name,nearest_shops_food_small_dist_m,count_shops_food_small_100m,count_shops_food_small_300m,count_shops_food_small_500m,count_shops_food_small_1000m,count_hypermarkets_100m,count_hypermarkets_300m,count_hypermarkets_500m,count_hypermarkets_1000m,nearest_hypermarkets_name,nearest_hypermarkets_dist_m,count_markets_100m,count_markets_300m,count_markets_500m,count_markets_1000m,nearest_markets_name,nearest_markets_dist_m,nearest_fitness_sport_name,nearest_fitness_sport_dist_m,count_fitness_sport_100m,count_fitness_sport_300m,count_fitness_sport_500m,count_fitness_sport_1000m,nearest_hotels_hostels_name,nearest_hotels_hostels_dist_m,count_hotels_hostels_100m,count_hotels_hostels_300m,count_hotels_hostels_500m,count_hotels_hostels_1000m,count_railway_stations_100m,count_railway_stations_300m,count_railway_stations_500m,count_railway_stations_1000m,nearest_railway_stations_name,nearest_railway_stations_dist_m,count_residential_buildings_100m,count_residential_buildings_300m,count_residential_buildings_500m,count_residential_buildings_1000m,nearest_residential_buildings_name,nearest_residential_buildings_dist_m,count_residential_landuse_100m,count_residential_landuse_300m,count_residential_landuse_500m,count_residential_landuse_1000m,nearest_residential_landuse_name,nearest_residential_landuse_dist_m,nearest_fuel_name,nearest_fuel_dist_m,count_fuel_100m,count_fuel_300m,count_fuel_500m,count_fuel_1000m,count_highway_pedestrian_100m,count_highway_pedestrian_300m,count_highway_pedestrian_500m,count_highway_pedestrian_1000m,nearest_highway_pedestrian_name,nearest_highway_pedestrian_dist_m,nearest_footway_100m_name,nearest_footway_100m_dist_m,count_footway_100m_100m,count_landuse_mix_100m,count_landuse_mix_300m,count_landuse_mix_500m,count_landuse_mix_1000m,nearest_landuse_mix_name,nearest_landuse_mix_dist_m,land_use_type,land_use_dist_m,city_center_name,city_center_dist_m,is_city_center
5.0,46.318231,44.260605,Мои документы,276.5,0,2,4,26,0,0,0,0,,,0,0,0,0,,,Фасоль,12.8,1,6,11,25,0,0,0,0,,,0,0,0,0,,,Региональный центр спортивной подготовки сборных команд «Ойрат-Арена»,98.9,1,2,2,3,Turist,852.3,0,0,0,2,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,,294.4,0,1,1,3,0,0,0,0,,,,86.6,2,0,0,0,0,,,industrial,144.5,Элиста,1261.8,1
6.0,54.270443,48.300652,,,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,49.1,1,2,4,15,0,0,0,0,,,0,0,0,0,,,Темп Спортивный клуб,215.7,0,1,2,4,,,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,0,0,0,1,,917.7,,21.5,33,0,1,6,35,,198.0,residential,198.0,Ульяновск,8328.7,0
7.0,48.520497,135.052594,МТС,10.1,2,2,2,4,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,,455.3,0,0,1,3,0,0,0,0,,,0,9,11,11,,101.2,0,2,4,10,,125.2,Роснефть,371.2,0,0,1,1,0,0,0,0,,,,62.9,9,0,0,0,0,,,commercial,10.1,Хабаровск,4702.0,0
8.0,62.025566,129.721308,Югория,59.4,1,10,27,58,0,0,0,0,,,0,0,0,0,,,Червонец,220.5,0,1,7,16,0,0,0,0,,,0,0,0,1,"Торговые ряды ""Кружало""",954.8,Спортивный зал №3 УЛК,714.6,0,0,0,6,Тыгын Дархан,710.2,0,0,0,6,0,0,0,0,,,0,15,21,64,,109.4,0,0,1,3,,385.6,,,0,0,0,0,0,0,0,4,площадь Ленина,594.4,,,0,0,1,3,17,,286.0,industrial,286.0,Якутск,595.2,1
10.0,50.090714,118.02748,,,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,0,1,2,2,,275.1,,,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,Западная,694.8,0,0,0,1,1,3,3,10,,30.5,,22.5,3,0,0,0,0,,,commercial,147.9,,,0
12.0,57.769478,40.930847,"Бизнес-центр ""Старый город""",157.8,0,9,33,52,0,0,0,0,,,0,0,0,0,,,Дом Еды,151.3,0,2,3,3,0,0,0,0,,,0,0,1,3,,456.2,Аквапул,217.0,0,1,2,2,Островский,57.9,2,2,3,13,0,0,0,0,,,0,1,2,59,,283.3,0,3,10,39,,111.8,,,0,0,0,0,2,2,3,4,,43.8,Аллея признания,129.6,0,0,3,13,45,,111.8,commercial,157.8,Кострома,291.6,1
13.0,52.540568,85.221734,МТС,29.7,4,4,6,10,0,0,0,0,,,0,0,0,0,,,Аникс,135.6,0,4,4,4,0,0,0,0,,,0,0,0,1,Авторынок,683.3,,,0,0,0,0,"Гостиница ""Центральная""",892.1,0,0,0,1,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,Газпромнефть,993.4,0,0,0,1,0,0,0,0,,,,93.5,2,0,0,0,0,,,commercial,39.0,Бийск,481.1,1
14.0,53.530257,33.719225,Психологический центр,142.0,0,1,5,29,0,0,0,0,,,0,0,0,0,,,Продукты,3.0,3,5,7,21,0,0,0,0,,,0,0,0,1,Ярмарка,936.2,,,0,0,0,0,,,0,0,0,0,0,0,0,0,,,0,0,0,1,,928.8,1,6,21,72,,75.8,,,0,0,0,0,0,0,0,17,Почтовая улица,507.9,,8.1,25,2,9,26,96,,19.9,commercial,142.0,Брянск,51325.1,0
15.0,53.60189,34.332083,МТС,417.8,0,0,1,2,0,0,0,0,,,0,0,0,0,,,,115.8,0,1,2,3,0,0,0,0,,,0,1,1,1,Рынок,138.3,,,0,0,0,0,,581.6,0,0,0,1,0,0,0,0,,,1,2,32,186,,91.9,0,0,0,0,,,ГАРАНТ,187.9,0,1,1,1,0,0,0,1,,910.3,,90.3,1,0,4,13,57,Рынок,138.3,commercial,138.3,Брянск,35984.5,0
16.0,55.93665,39.456783,Билайн,13.3,1,2,4,4,0,0,0,0,,,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,0,1,1,1,,292.9,,,0,0,0,0,Мон отель,385.2,0,0,1,3,0,0,0,0,,,0,0,0,0,,,0,3,13,43,,103.0,,,0,0,0,0,0,0,0,0,,,,,0,0,4,15,45,,103.0,residential,103.0,Орехово-Зуево,32371.2,0
18.0,56.108954,40.344067,"ООО ""Форт""",22.5,3,8,17,38,0,3,4,4,,183.9,0,0,0,0,,,"микроторговый центр ""Дуброва""",186.6,0,1,7,31,0,0,0,0,,,0,0,1,2,Слобода,451.0,Академия тела,477.5,0,0,1,4,,,0,0,0,0,0,0,0,0,,,0,0,0,0,,,0,0,0,0,,,City Oil,540.9,0,0,0,2,0,0,0,0,,,,30.0,31,0,0,0,0,,,commercial,179.4,Владимир,4528.2,0
21.0,55.380109,39.039273,,88.4,2,17,32,43,3,3,5,5,,73.5,0,0,0,0,,,Суши-сет,81.4,2,4,10,21,0,0,0,0,,,0,0,0,1,ТК «Хозяин»,552.4,,498.0,0,0,1,6,Егорьевск,6.4,1,1,2,2,0,0,0,1,Егорьевск I,748.2,1,1,1,4,,89.4,1,6,17,85,,80.0,Татнефть,718.3,0,0,0,1,0,0,0,0,,,,41.8,9,1,6,20,103,,80.0,commercial,88.4,Воскресенск,22261.2,0
23.0,59.542338,30.880531,МФЦ «Мои документы»,79.6,1,5,7,13,0,1,1,1,,103.9,0,0,0,0,,,,,0,0,0,0,0,0,0,0,,,1,1,1,1,,92.1,Лазурный,608.5,0,0,0,1,Комфорт,710.6,0,0,0,1,0,1,1,1,Тосно,256.1,0,0,0,1,Комфорт,710.6,0,2,7,34,,247.9,,,0,0,0,0,0,0,0,0,,,,17.4,9,1,3,8,37,,92.1,commercial,92.1,Колпино,27974.5,0
24.0,48.458832,135.089677,Югория,321.1,0,0,2,9,0,0,0,0,,,0,0,0,0,,,Задарма,124.4,0,1,3,4,0,0,0,0,,,0,0,0,0,,,"Спортивный комплекс ""Олимпия""",398.7,0,0,2,3,Империя,575.9,0,0,0,2,0,0,0,0,,,0,1,1,2,,226.3,0,0,0,0,,,Роснефть,551.5,0,0,0,3,0,0,0,0,,,,23.9,4,0,0,0,0,,,residential,213.4,Хабаровск,2329.1,0
