atm_id,atm_lat,atm_lon,nearest_offices_dist_m,count_offices_100m,count_offices_300m,count_offices_500m,count_offices_1000m,count_payment_terminals_100m,count_payment_terminals_300m,count_payment_terminals_500m,count_payment_terminals_1000m,nearest_payment_terminals_dist_m,count_money_transfer_100m,count_money_transfer_300m,count_money_transfer_500m,count_money_transfer_1000m,nearest_money_transfer_dist_m,nearest_shops_food_small_dist_m,count_shops_food_small_100m,count_shops_food_small_300m,count_shops_food_small_500m,count_shops_food_small_1000m,count_hypermarkets_100m,count_hypermarkets_300m,count_hypermarkets_500m,count_hypermarkets_1000m,nearest_hypermarkets_dist_m,count_markets_100m,count_markets_300m,count_markets_500m,count_markets_1000m,nearest_markets_name,nearest_markets_dist_m,nearest_fitness_sport_dist_m,count_fitness_sport_100m,count_fitness_sport_300m,count_fitness_sport_500m,count_fitness_sport_1000m,nearest_hotels_hostels_dist_m,count_hotels_hostels_100m,count_hotels_hostels_300m,count_hotels_hostels_500m,count_hotels_hostels_1000m,count_railway_stations_100m,count_railway_stations_300m,count_railway_stations_500m,count_railway_stations_1000m,nearest_railway_stations_dist_m,count_residential_buildings_100m,count_residential_buildings_300m,count_residential_buildings_500m,count_residential_buildings_1000m,nearest_residential_buildings_dist_m,count_residential_landuse_100m,count_residential_landuse_300m,count_residential_landuse_500m,count_residential_landuse_1000m,nearest_residential_landuse_dist_m,nearest_fuel_dist_m,count_fuel_100m,count_fuel_300m,count_fuel_500m,count_fuel_1000m,count_highway_pedestrian_100m,count_highway_pedestrian_300m,count_highway_pedestrian_500m,count_highway_pedestrian_1000m,nearest_highway_pedestrian_dist_m,nearest_footway_100m_dist_m,count_footway_100m_100m,count_landuse_mix_100m,count_landuse_mix_300m,count_landuse_mix_500m,count_landuse_mix_1000m,nearest_landuse_mix_name,nearest_landuse_mix_dist_m,land_use_type,land_use_dist_m,city_center_name,city_center_dist_m,is_city_center
5.0,46.318231,44.260605,276.5,0,2,4,26,0,0,0,0,,0,0,0,0,,12.8,1,6,11,25,0,0,0,0,,0,0,0,0,,,98.9,1,2,2,3,852.3,0,0,0,2,0,0,0,0,,0,0,0,0,,0,0,0,0,,294.4,0,1,1,3,0,0,0,0,,86.6,2,0,0,0,0,,,industrial,144.5,Элиста,1261.8,1
6.0,54.270443,48.300652,,0,0,0,0,0,0,0,0,,0,0,0,0,,49.1,1,2,4,15,0,0,0,0,,0,0,0,0,,,215.7,0,1,2,4,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,1,917.7,21.5,33,0,1,6,35,,198.0,residential,198.0,Ульяновск,8328.7,0
7.0,48.520497,135.052594,10.1,2,2,2,4,0,0,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,,0,0,0,0,455.3,0,0,1,3,0,0,0,0,,0,9,11,11,101.2,0,2,4,10,125.2,371.2,0,0,1,1,0,0,0,0,,62.9,9,0,0,0,0,,,commercial,10.1,Хабаровск,4702.0,0
8.0,62.025566,129.721308,59.4,1,10,27,58,0,0,0,0,,0,0,0,0,,220.5,0,1,7,16,0,0,0,0,,0,0,0,1,"Торговые ряды ""Кружало""",954.8,714.6,0,0,0,6,710.2,0,0,0,6,0,0,0,0,,0,15,21,64,109.4,0,0,1,3,385.6,,0,0,0,0,0,0,0,4,594.4,,0,0,1,3,17,,286.0,industrial,286.0,Якутск,595.2,1
10.0,50.090714,118.02748,,0,0,0,0,0,0,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,1,2,2,,275.1,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,694.8,0,0,0,1,1,3,3,10,30.5,22.5,3,0,0,0,0,,,commercial,147.9,,,0
12.0,57.769478,40.930847,157.8,0,9,33,52,0,0,0,0,,0,0,0,0,,151.3,0,2,3,3,0,0,0,0,,0,0,1,3,,456.2,217.0,0,1,2,2,57.9,2,2,3,13,0,0,0,0,,0,1,2,59,283.3,0,3,10,39,111.8,,0,0,0,0,2,2,3,4,43.8,129.6,0,0,3,13,45,,111.8,commercial,157.8,Кострома,291.6,1
13.0,52.540568,85.221734,29.7,4,4,6,10,0,0,0,0,,0,0,0,0,,135.6,0,4,4,4,0,0,0,0,,0,0,0,1,Авторынок,683.3,,0,0,0,0,892.1,0,0,0,1,0,0,0,0,,0,0,0,0,,0,0,0,0,,993.4,0,0,0,1,0,0,0,0,,93.5,2,0,0,0,0,,,commercial,39.0,Бийск,481.1,1
14.0,53.530257,33.719225,142.0,0,1,5,29,0,0,0,0,,0,0,0,0,,3.0,3,5,7,21,0,0,0,0,,0,0,0,1,Ярмарка,936.2,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,1,928.8,1,6,21,72,75.8,,0,0,0,0,0,0,0,17,507.9,8.1,25,2,9,26,96,,19.9,commercial,142.0,Брянск,51325.1,0
15.0,53.60189,34.332083,417.8,0,0,1,2,0,0,0,0,,0,0,0,0,,115.8,0,1,2,3,0,0,0,0,,0,1,1,1,Рынок,138.3,,0,0,0,0,581.6,0,0,0,1,0,0,0,0,,1,2,32,186,91.9,0,0,0,0,,187.9,0,1,1,1,0,0,0,1,910.3,90.3,1,0,4,13,57,Рынок,138.3,commercial,138.3,Брянск,35984.5,0
16.0,55.93665,39.456783,13.3,1,2,4,4,0,0,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,1,1,1,,292.9,,0,0,0,0,385.2,0,0,1,3,0,0,0,0,,0,0,0,0,,0,3,13,43,103.0,,0,0,0,0,0,0,0,0,,,0,0,4,15,45,,103.0,residential,103.0,Орехово-Зуево,32371.2,0
18.0,56.108954,40.344067,22.5,3,8,17,38,0,3,4,4,183.9,0,0,0,0,,186.6,0,1,7,31,0,0,0,0,,0,0,1,2,Слобода,451.0,477.5,0,0,1,4,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,540.9,0,0,0,2,0,0,0,0,,30.0,31,0,0,0,0,,,commercial,179.4,Владимир,4528.2,0
