city_name,population,region_name,city_type,city_size_category,federal_district,grp_per_capita_2023_rub,avg_salary_oct_2025_rub,avg_income_q3_2025_rub,macro_region
Москва,13149803,Москва,federal_city,million+,ЦФО,2463550.0,173747.6,120000.0,central
Санкт-Петербург,5597763,Санкт-Петербург,federal_city,million+,СЗФО,1948243.0,122178.8,95000.0,north
Новосибирск,1633851,Новосибирская область,regional_capital,million+,СФО,650000.0,88426.8,38000.0,siberia
Екатеринбург,1536183,Свердловская область,regional_capital,million+,УФО,750000.0,89753.3,125000.0,ural
Казань,1318604,Республика Татарстан,regional_capital,million+,ПФО,900000.0,93970.8,70000.0,central
Красноярск,1233000,Красноярский край,regional_capital,million+,СФО,1200000.0,104869.1,38000.0,siberia
Нижний Новгород,1228000,Нижегородская область,regional_capital,million+,ПФО,630000.0,81913.4,70000.0,central
Челябинск,1189525,Челябинская область,regional_capital,million+,УФО,570000.0,128688.325,125000.0,ural
Самара,1145988,Самарская область,regional_capital,million+,ПФО,700000.0,87942.1,70000.0,central
Уфа,1144810,Республика Башкортостан,regional_capital,million+,ПФО,440000.0,87942.1,70000.0,central
Ростов-на-Дону,1142162,Ростовская область,regional_capital,million+,ЮФО,550000.0,76143.4,60000.0,south
Омск,1140000,Омская область,regional_capital,million+,СФО,520000.0,96647.95000000001,38000.0,siberia
Краснодар,1131000,Краснодарский край,regional_capital,million+,ЮФО,600000.0,76143.4,60000.0,south
Воронеж,1058261,Воронежская область,regional_capital,million+,ЦФО,480000.0,122661.03333333333,102500.0,central
Пермь,1055397,Пермский край,regional_capital,million+,ПФО,540000.0,87942.1,70000.0,central
Волгоград,1008998,Волгоградская область,regional_capital,million+,ЮФО,470000.0,76143.4,60000.0,south
Саратов,832289,Саратовская область,regional_capital,large,ПФО,450000.0,87942.1,70000.0,central
Тюмень,847488,Тюменская область,regional_capital,large,УФО,2200000.0,95000.0,100000.0,ural
Тольятти,684709,Самарская область,city,large,ПФО,700000.0,87942.1,70000.0,central
Махачкала,623254,Республика Дагестан,regional_capital,large,СКФО,321237.0,75000.0,35000.0,south
Барнаул,630877,Алтайский край,regional_capital,large,СФО,623859.6666666666,96647.95000000001,38000.0,siberia
Ижевск,646277,Удмуртская Республика,regional_capital,large,ПФО,610000.0,87942.1,70000.0,central
Ульяновск,617352,Ульяновская область,regional_capital,large,ПФО,610000.0,87942.1,70000.0,central
Владивосток,600871,Приморский край,regional_capital,large,ДФО,620000.0,95553.5,135440.0,far_east
Ярославль,578279,Ярославская область,regional_capital,large,ЦФО,1080887.5,122661.03333333333,102500.0,central
Иркутск,623562,Иркутская область,regional_capital,large,СФО,500000.0,96647.95000000001,38000.0,siberia
Хабаровск,610305,Хабаровский край,regional_capital,large,ДФО,490000.0,148263.98333333334,135440.0,far_east
Томск,556478,Томская область,regional_capital,large,СФО,623859.6666666666,96647.95000000001,38000.0,siberia
Оренбург,572188,Оренбургская область,regional_capital,large,ПФО,610000.0,87942.1,70000.0,central
Новокузнецк,537480,Кемеровская область,city,large,СФО,510000.0,96647.95000000001,38000.0,siberia
Кемерово,532884,Кемеровская область,regional_capital,large,СФО,510000.0,96647.95000000001,38000.0,siberia
Астрахань,475629,Астраханская область,regional_capital,medium,ЮФО,540000.0,76143.4,60000.0,south
Рязань,534801,Рязанская область,regional_capital,large,ЦФО,1080887.5,122661.03333333333,102500.0,central
Пенза,512602,Пензенская область,regional_capital,large,ПФО,610000.0,87942.1,70000.0,central
Липецк,496403,Липецкая область,regional_capital,medium,ЦФО,1080887.5,122661.03333333333,102500.0,central
Киров,521971,Кировская область,regional_capital,large,ПФО,610000.0,87942.1,70000.0,central
Чебоксары,497618,Чувашская Республика,regional_capital,medium,ПФО,610000.0,87942.1,70000.0,central
Тула,468825,Тульская область,regional_capital,medium,ЦФО,1080887.5,122661.03333333333,102500.0,central
Калининград,493934,Калининградская область,regional_capital,medium,СЗФО,460000.0,78056.1,118966.66666666667,north
Курск,452976,Курская область,regional_capital,medium,ЦФО,1080887.5,122661.03333333333,102500.0,central
Севастополь,590000,Севастополь,federal_city,large,ЮФО,540000.0,76143.4,60000.0,south
Сочи,466078,Краснодарский край,city,medium,ЮФО,600000.0,76143.4,60000.0,south
Ставрополь,547820,Ставропольский край,regional_capital,large,СКФО,251720.0,75000.0,30900.0,south
Улан-Удэ,439128,Республика Бурятия,regional_capital,medium,ДФО,1941987.857142857,148263.98333333334,135440.0,far_east
Тверь,425072,Тверская область,regional_capital,medium,ЦФО,1080887.5,122661.03333333333,102500.0,central
Магнитогорск,410582,Челябинская область,city,medium,УФО,570000.0,128688.325,125000.0,ural
Грозный,399284,Чеченская Республика,regional_capital,medium,СКФО,251720.0,75000.0,30900.0,south
Якутск,355379,Республика Саха (Якутия),regional_capital,medium,ДФО,1800000.0,130000.0,95000.0,far_east
Брянск,372146,Брянская область,regional_capital,medium,ЦФО,1080887.5,122661.03333333333,102500.0,central
Иваново,356745,Ивановская область,regional_capital,medium,ЦФО,1080887.5,122661.03333333333,102500.0,central
Владимир,341590,Владимирская область,regional_capital,medium,ЦФО,1080887.5,122661.03333333333,102500.0,central
Чита,337101,Забайкальский край,regional_capital,medium,СФО,623859.6666666666,96647.95000000001,38000.0,siberia
Симферополь,335026,Республика Крым,regional_capital,medium,,,,,
Нижний Тагил,328170,Свердловская область,city,medium,УФО,750000.0,89753.3,125000.0,ural
Калуга,325030,Калужская область,regional_capital,medium,ЦФО,1080887.5,122661.03333333333,102500.0,central
Белгород,321762,Белгородская область,regional_capital,medium,ЦФО,580000.0,74504.0,102500.0,central
Подольск,313353,Московская область,city,medium,ЦФО,800000.0,119731.5,85000.0,central
Вологда,311523,Вологодская область,regional_capital,medium,СЗФО,2646233.8571428573,114854.7,118966.66666666667,north
Смоленск,310512,Смоленская область,regional_capital,medium,ЦФО,1080887.5,122661.03333333333,102500.0,central
Саранск,309279,Республика Мордовия,regional_capital,medium,ПФО,610000.0,87942.1,70000.0,central
Курган,300817,Курганская область,regional_capital,medium,УФО,3785504.2,128688.325,125000.0,ural
Череповец,298169,Вологодская область,city,medium,СЗФО,2646233.8571428573,114854.7,118966.66666666667,north
Петрозаводск,265025,Республика Карелия,regional_capital,medium,СЗФО,2646233.8571428573,114854.7,118966.66666666667,north
Владикавказ,295830,Республика Северная Осетия — Алания,regional_capital,medium,СКФО,251720.0,75000.0,30900.0,south
Мурманск,270384,Мурманская область,regional_capital,medium,СЗФО,1450000.0,110000.0,90000.0,north
Тамбов,254936,Тамбовская область,regional_capital,medium,ЦФО,1080887.5,122661.03333333333,102500.0,central
Нальчик,245584,Кабардино-Балкарская Республика,regional_capital,medium,СКФО,251720.0,75000.0,30900.0,south
Нижнекамск,240802,Республика Татарстан,city,medium,ПФО,900000.0,93970.8,70000.0,central
Таганрог,240105,Ростовская область,city,medium,ЮФО,550000.0,76143.4,60000.0,south
Благовещенск,239912,Амурская область,city,medium,ДФО,1941987.857142857,148263.98333333334,135440.0,far_east
Архангельск,346312,Архангельская область,regional_capital,medium,СЗФО,850000.0,114854.7,118966.66666666667,north
Сургут,375000,Ханты-Мансийский автономный округ — Югра,city,medium,УФО,4945301.0,150000.0,125000.0,ural
Кострома,268742,Костромская область,regional_capital,medium,ЦФО,1080887.5,122661.03333333333,102500.0,central
Нижневартовск,282000,Ханты-Мансийский автономный округ — Югра,city,medium,УФО,4945301.0,150000.0,125000.0,ural
Петропавловск-Камчатский,181054,Камчатский край,regional_capital,medium,ДФО,1400000.0,140000.0,105000.0,far_east
Майкоп,156996,Республика Адыгея,regional_capital,medium,ЮФО,540000.0,76143.4,60000.0,south
Черкесск,76000,Карачаево-Черкесская Республика,regional_capital,small,СКФО,251720.0,75000.0,30900.0,south
Элиста,103600,Республика Калмыкия,regional_capital,medium,ЮФО,540000.0,76143.4,60000.0,south
Салехард,50000,Ямало-Ненецкий автономный округ,regional_capital,small,УФО,10462220.0,180000.0,150000.0,ural
Анадырь,15000,Чукотский автономный округ,regional_capital,small,ДФО,3895053.0,209356.0,207200.0,far_east
Магадан,92797,Магаданская область,regional_capital,small,ДФО,1850000.0,179674.4,140000.0,far_east
Южно-Сахалинск,201990,Сахалинская область,regional_capital,medium,ДФО,3538862.0,135000.0,130000.0,far_east
Биробиджан,74895,Еврейская автономная область,regional_capital,small,ДФО,1941987.857142857,148263.98333333334,135440.0,far_east
Нарьян-Мар,25500,Ненецкий автономный округ,regional_capital,small,СЗФО,11995394.0,170000.0,171900.0,north
Пятигорск,142511,Ставропольский край,city,medium,СКФО,251720.0,75000.0,30900.0,south
