region_name,population,area_km2,population_density,federal_district,is_federal_district_capital,is_federal_city,macro_region,grp_per_capita_2023_rub,avg_salary_oct_2025_rub,avg_income_q3_2025_rub
Республика Адыгея,453000,7792,58.14,ЮФО,False,False,south,540000.0,76143.4,60000.0
Республика Алтай,222000,92600,2.4,СФО,False,False,siberia,623859.6666666666,96647.95000000001,38000.0
Республика Башкортостан,4000000,142947,27.98,ПФО,False,False,central,440000.0,87942.1,70000.0
Республика Бурятия,972000,351334,2.77,ДФО,False,False,far_east,1941987.857142857,148263.98333333334,135440.0
Республика Дагестан,3264000,50300,64.89,СКФО,False,False,south,321237.0,75000.0,35000.0
Республика Ингушетия,543000,3628,149.67,СКФО,False,False,south,182203.0,75000.0,26800.0
Кабардино-Балкарская Республика,895000,12470,71.77,СКФО,False,False,south,251720.0,75000.0,30900.0
Республика Калмыкия,263000,74731,3.52,ЮФО,False,False,south,540000.0,76143.4,60000.0
Карачаево-Черкесская Республика,466000,14277,32.64,СКФО,False,False,south,251720.0,75000.0,30900.0
Республика Карелия,540000,172400,3.13,СЗФО,False,False,north,2646233.8571428573,114854.7,118966.66666666667
Республика Коми,737000,416774,1.77,СЗФО,False,False,north,1100000.0,114854.7,118966.66666666667
Республика Марий Эл,657000,23375,28.11,ПФО,False,False,central,610000.0,87942.1,70000.0
Республика Мордовия,738000,26128,28.25,ПФО,False,False,central,610000.0,87942.1,70000.0
Республика Саха (Якутия),948000,3083523,0.31,ДФО,False,False,far_east,1800000.0,130000.0,95000.0
Республика Северная Осетия — Алания,674000,8000,84.25,СКФО,False,False,south,251720.0,75000.0,30900.0
Республика Татарстан,3923000,67836,57.83,ПФО,False,False,central,900000.0,93970.8,70000.0
Республика Тыва,334000,168606,1.98,СФО,False,False,siberia,363158.0,96647.95000000001,38000.0
Удмуртская Республика,1488000,42100,35.34,ПФО,False,False,central,610000.0,87942.1,70000.0
Республика Хакасия,528000,61900,8.53,СФО,False,False,siberia,623859.6666666666,96647.95000000001,38000.0
Чеченская Республика,1506000,17100,88.07,СКФО,False,False,south,251720.0,75000.0,30900.0
Чувашская Республика,1150000,18343,62.69,ПФО,False,False,central,610000.0,87942.1,70000.0
Алтайский край,2242000,168000,13.35,СФО,False,False,siberia,623859.6666666666,96647.95000000001,38000.0
Забайкальский край,985000,431892,2.28,СФО,False,False,siberia,623859.6666666666,96647.95000000001,38000.0
Камчатский край,291000,464275,0.63,ДФО,False,False,far_east,1400000.0,140000.0,105000.0
Краснодарский край,5938000,75485,78.66,ЮФО,False,False,south,600000.0,76143.4,60000.0
Красноярский край,2798000,2366800,1.18,СФО,False,False,siberia,1200000.0,104869.1,38000.0
Пермский край,2541000,160236,15.86,ПФО,False,False,central,540000.0,87942.1,70000.0
Приморский край,1841000,165900,11.1,ДФО,False,False,far_east,620000.0,95553.5,135440.0
Ставропольский край,2786000,66500,41.89,СКФО,True,False,south,251720.0,75000.0,30900.0
Хабаровский край,1262000,787633,1.6,ДФО,True,False,far_east,490000.0,148263.98333333334,135440.0
Амурская область,750000,363000,2.07,ДФО,False,False,far_east,1941987.857142857,148263.98333333334,135440.0
Архангельская область,1088000,589913,1.84,СЗФО,False,False,north,850000.0,114854.7,118966.66666666667
Астраханская область,965000,44100,21.88,ЮФО,False,False,south,540000.0,76143.4,60000.0
Белгородская область,1530000,27134,56.39,ЦФО,False,False,central,580000.0,74504.0,102500.0
Брянская область,1122000,34900,32.15,ЦФО,False,False,central,1080887.5,122661.03333333333,102500.0
Владимирская область,1330000,29084,45.73,ЦФО,False,False,central,1080887.5,122661.03333333333,102500.0
Волгоградская область,2425000,113900,21.29,ЮФО,False,False,south,470000.0,76143.4,60000.0
Вологодская область,1130000,145700,7.76,СЗФО,False,False,north,2646233.8571428573,114854.7,118966.66666666667
Воронежская область,2315000,52200,44.35,ЦФО,False,False,central,480000.0,122661.03333333333,102500.0
Ивановская область,940000,21437,43.85,ЦФО,False,False,central,1080887.5,122661.03333333333,102500.0
Иркутская область,2324000,774846,3.0,СФО,False,False,siberia,500000.0,96647.95000000001,38000.0
Калининградская область,1033000,15125,68.3,СЗФО,False,False,north,460000.0,78056.1,118966.66666666667
Калужская область,1010000,29900,33.78,ЦФО,False,False,central,1080887.5,122661.03333333333,102500.0
Кемеровская область,2520000,95500,26.39,СФО,False,False,siberia,510000.0,96647.95000000001,38000.0
Кировская область,1116000,120374,9.27,ПФО,False,False,central,610000.0,87942.1,70000.0
Костромская область,595000,60100,9.9,ЦФО,False,False,central,1080887.5,122661.03333333333,102500.0
Курганская область,784000,71488,10.97,УФО,False,False,ural,3785504.2,128688.325,125000.0
Курская область,1060000,29827,35.54,ЦФО,False,False,central,1080887.5,122661.03333333333,102500.0
Ленинградская область,1958000,83908,23.34,СЗФО,False,False,north,720000.0,94038.6,118966.66666666667
Липецкая область,1110000,24100,46.06,ЦФО,False,False,central,1080887.5,122661.03333333333,102500.0
Магаданская область,134000,46200,2.9,ДФО,False,False,far_east,1850000.0,179674.4,140000.0
Московская область,7881000,44329,177.78,ЦФО,False,False,central,800000.0,119731.5,85000.0
Мурманская область,689000,144900,4.76,СЗФО,False,False,north,1450000.0,110000.0,90000.0
Нижегородская область,3061000,76624,39.95,ПФО,True,False,central,630000.0,81913.4,70000.0
Новгородская область,580000,54500,10.64,СЗФО,False,False,north,2646233.8571428573,114854.7,118966.66666666667
Новосибирская область,2808000,178200,15.76,СФО,True,False,siberia,650000.0,88426.8,38000.0
Омская область,1882000,139730,13.47,СФО,False,False,siberia,520000.0,96647.95000000001,38000.0
Оренбургская область,1905000,123700,15.4,ПФО,False,False,central,610000.0,87942.1,70000.0
Орловская область,689000,24700,27.89,ЦФО,False,False,central,1080887.5,122661.03333333333,102500.0
Пензенская область,1250000,43200,28.94,ПФО,False,False,central,610000.0,87942.1,70000.0
Псковская область,580000,55300,10.49,СЗФО,False,False,north,2646233.8571428573,114854.7,118966.66666666667
Ростовская область,4155000,100800,41.22,ЮФО,True,False,south,550000.0,76143.4,60000.0
Рязанская область,1095000,39600,27.65,ЦФО,False,False,central,1080887.5,122661.03333333333,102500.0
Самарская область,3134000,53565,58.51,ПФО,False,False,central,700000.0,87942.1,70000.0
Саратовская область,2337000,101200,23.09,ПФО,False,False,central,450000.0,87942.1,70000.0
Сахалинская область,466000,87200,5.34,ДФО,False,False,far_east,3538862.0,135000.0,130000.0
Свердловская область,4276000,194307,22.01,УФО,True,False,ural,750000.0,89753.3,125000.0
Смоленская область,911000,49800,18.29,ЦФО,False,False,central,1080887.5,122661.03333333333,102500.0
Тамбовская область,955000,34300,27.84,ЦФО,False,False,central,1080887.5,122661.03333333333,102500.0
Тверская область,1175000,84200,13.95,ЦФО,False,False,central,1080887.5,122661.03333333333,102500.0
Томская область,1067000,314391,3.39,СФО,False,False,siberia,623859.6666666666,96647.95000000001,38000.0
Тульская область,1465000,25679,57.05,ЦФО,False,False,central,1080887.5,122661.03333333333,102500.0
Тюменская область,1580000,160122,9.87,УФО,False,False,ural,2200000.0,95000.0,100000.0
Ульяновская область,1197000,37300,32.09,ПФО,False,False,central,610000.0,87942.1,70000.0
Челябинская область,3476000,88529,39.26,УФО,False,False,ural,570000.0,128688.325,125000.0
Ярославская область,1220000,36400,33.52,ЦФО,False,False,central,1080887.5,122661.03333333333,102500.0
Москва,13104000,2561,5116.75,ЦФО,True,True,central,2463550.0,173747.6,120000.0
Санкт-Петербург,5602000,1439,3892.98,СЗФО,True,True,north,1948243.0,122178.8,95000.0
Севастополь,590000,1079,546.8,ЮФО,False,True,south,540000.0,76143.4,60000.0
Еврейская автономная область,155000,36100,4.29,ДФО,False,False,far_east,1941987.857142857,148263.98333333334,135440.0
Ненецкий автономный округ,42000,176800,0.24,СЗФО,False,False,north,11995394.0,170000.0,171900.0
Ханты-Мансийский автономный округ — Югра,1684000,534801,3.15,УФО,False,False,ural,4945301.0,150000.0,125000.0
Чукотский автономный округ,50000,72100,0.69,ДФО,False,False,far_east,3895053.0,209356.0,207200.0
Ямало-Ненецкий автономный округ,543000,769250,0.71,УФО,False,False,ural,10462220.0,180000.0,150000.0
