id,nearest_cafes_name,nearest_cafes_dist_m,count_cafes_100m,count_cafes_300m,count_cafes_500m,nearest_restaurants_name,nearest_restaurants_dist_m,count_restaurants_100m,count_restaurants_300m,count_restaurants_500m,nearest_public_transport_name,nearest_public_transport_dist_m,count_public_transport_100m,count_public_transport_300m,count_public_transport_500m,nearest_parking_name,nearest_parking_dist_m,count_parking_100m,count_parking_300m,count_parking_500m
1.0,Отдых,17.2,2,24,58,Liman,61.4,3,20,48,Социалистическая улица,20.3,2,3,16,Не удалось узнать название,149.2,0,6,14
2.0,Baggins Coffee,16.9,3,16,34,Simple Food Cafe,110.8,0,4,34,станция метро «Обводный канал»,247.2,0,3,18,Не удалось узнать название,46.0,1,4,12
4.0,Tatlers,28.8,5,14,21,Айс,65.5,2,7,14,Ресторан Айс,38.8,3,4,9,Не удалось узнать название,124.7,0,5,12
5.0,Дорожное,124.5,0,1,3,Шаурма Кикчак,317.9,0,0,1,ТЦ КИТ,93.6,1,5,5,Не удалось узнать название,143.7,0,3,7
8.0,Глория,428.6,0,0,1,Белый Тигр,225.8,0,1,3,Библиотека им. Пушкина,119.8,0,7,25,Не удалось узнать название,246.9,0,4,9
10.0,Не удалось узнать название,304.7,0,0,1,Аргунь,7.3,2,2,2,"Ресторан ""Аргунь""",70.6,2,3,8,Не удалось узнать название,48.3,1,5,11
11.0,Гранат,144.6,0,2,2,Чародейка,353.6,0,0,1,Не удалось узнать название,82.7,3,3,3,Не удалось узнать название,208.1,0,2,4
12.0,Фиори,99.6,1,7,13,Самоваръ,147.7,0,10,23,Сусанинская площадь,104.4,0,11,18,Не удалось узнать название,130.5,0,12,22
13.0,Coffee Like,12.1,2,3,4,Грильница,96.3,1,1,1,Музей,85.0,1,4,10,Не удалось узнать название,36.5,1,3,6
14.0,Пивная бухта,534.2,0,0,0,Кутинава,269.9,0,1,1,Больница,155.4,0,4,9,Не удалось узнать название,559.7,0,0,0
15.0,Ностальгия,103.9,0,2,3,Чикен Пицца,400.5,0,0,2,Рынок,94.7,2,2,6,Не удалось узнать название,164.2,0,2,3
16.0,Каштан,245.5,0,1,2,Вкусно — и точка,28.6,1,1,2,Аптека №19,205.8,0,1,4,Не удалось узнать название,28.7,5,10,15
17.0,Coffee Like,11.4,1,2,3,Додо Пицца,43.7,2,2,4,"ТРК ""МегаГриНН""",80.2,1,5,10,Не удалось узнать название,386.9,0,0,2
18.0,Мастер Бургер,28.1,1,3,3,Автосуши Автопицца,174.8,0,1,2,Парк Дружбы,166.9,0,4,8,Не удалось узнать название,28.6,6,22,52
19.0,Сукно,102.3,0,4,4,Не удалось узнать название,502.1,0,0,0,Станция Барыбино,80.6,1,8,12,Не удалось узнать название,35.9,2,3,5
21.0,New York Cafe,14.0,2,2,5,Егорьевск,20.6,1,3,8,Гостиница,48.6,1,4,7,Не удалось узнать название,144.0,0,11,20
22.0,Крендель,179.8,0,1,5,Вкусно — и точка,25.1,1,2,5,Микрорайон 1,95.4,1,3,6,Не удалось узнать название,33.7,2,14,19
23.0,Шоколад,78.1,1,2,4,Теремок,76.5,1,4,7,Почта,197.6,0,11,17,Не удалось узнать название,89.8,2,8,10
24.0,Чин-Чин,442.2,0,0,1,Виорд,311.0,0,0,1,Прибрежная,43.2,2,6,10,Не удалось узнать название,132.6,0,3,13
26.0,Север-Метрополь,9.4,7,21,45,Том и Ям,13.1,5,23,45,Арбатская,85.0,2,12,25,Не удалось узнать название,111.9,0,1,18
28.0,Добропек,27.3,2,7,10,Татмак,53.3,1,3,5,улица Достоевского,31.5,4,6,8,Не удалось узнать название,18.6,1,12,35
29.0,Сластёна,104.0,0,2,2,Даймё,18.1,1,1,2,Не удалось узнать название,88.3,1,1,3,Не удалось узнать название,158.5,0,2,6
33.0,Суши Вок,247.8,0,1,3,Лаванда,215.2,0,1,2,Улица Ушакова,16.8,2,4,14,Не удалось узнать название,285.7,0,1,9
34.0,Кафе от Бахетле,166.7,0,7,28,Бәхетле,34.7,2,7,25,Кремлёвская,121.7,0,5,26,Не удалось узнать название,154.7,0,6,18
36.0,Волжанка,170.8,0,1,5,Кухмистръ,98.2,1,1,3,Не удалось узнать название,51.7,2,6,12,Не удалось узнать название,86.8,1,13,21
37.0,Фуд Холл,102.7,0,4,6,Жарки,78.3,1,1,2,Управление комбината,53.5,10,18,26,Не удалось узнать название,27.8,2,5,11
38.0,Фуд холл,47.1,1,3,3,Царская трапеза,578.1,0,0,0,Школа №30,48.8,4,4,8,Не удалось узнать название,125.6,0,1,2
39.0,Мираж,704.8,0,0,0,Don Alpaco,156.3,0,1,1,Торговый центр,118.5,0,3,8,Не удалось узнать название,22.4,2,2,5
40.0,Клуб'ОК,253.9,0,2,3,Не удалось узнать название,348.6,0,0,2,Не удалось узнать название,69.5,2,6,18,Не удалось узнать название,259.3,0,1,3
42.0,Zёrna fix,118.9,0,4,15,Не удалось узнать название,25.7,1,6,19,Гидропроект,88.8,2,12,29,Не удалось узнать название,201.9,0,6,18
44.0,Не удалось узнать название,146.1,0,11,20,Сицилия,200.5,0,3,10,Горотдел,86.7,1,6,12,Не удалось узнать название,68.7,1,5,11
45.0,Эра,581.2,0,0,0,Aik Бистро,106.6,0,2,4,Кубанская,39.1,1,6,12,Не удалось узнать название,144.5,0,2,8
46.0,Хлебник,75.9,1,8,15,Не удалось узнать название,106.8,0,3,8,Фёдоровский ручей,126.8,0,3,6,Не удалось узнать название,101.5,0,7,8
47.0,Не удалось узнать название,293.0,0,1,4,Желтик,282.0,0,1,2,Почта,264.3,0,1,2,Не удалось узнать название,58.3,2,14,27
48.0,Пепечолли,329.9,0,0,3,Пирожковая,303.6,0,0,4,РИП,294.7,0,1,9,Не удалось узнать название,26.6,1,8,33
50.0,Восточный Экспресс,156.6,0,2,2,Coffee Like,189.8,0,3,7,Улица Вологодская,219.4,0,2,22,Не удалось узнать название,170.8,0,2,14
52.0,Антонов Двор,78.7,2,9,12,Безумно. Шаурма,122.9,0,4,10,Речной вокзал,23.9,4,14,21,Не удалось узнать название,85.7,1,17,40
53.0,33 пингвина,18.5,4,8,12,Coffee Like,12.8,5,12,20,Городской фонтан,106.7,0,6,10,Не удалось узнать название,71.0,2,8,12
55.0,"""ДЖОЙ""",101.6,0,4,10,Канда,196.0,0,1,1,Центральная площадь,88.4,2,5,13,Не удалось узнать название,112.8,0,10,18
56.0,Coffee Like,51.6,1,1,3,Такао51,94.6,1,2,4,Не удалось узнать название,57.0,6,11,17,Не удалось узнать название,35.5,4,4,9
60.0,Старый город,258.3,0,1,2,Столовая,224.2,0,1,1,Ст.рынок,214.1,0,3,4,Не удалось узнать название,130.5,0,2,3
61.0,Не удалось узнать название,175.9,0,2,4,"Рестобар ""Малина""",182.9,0,2,4,Не удалось узнать название,137.0,0,4,9,Не удалось узнать название,253.9,0,1,5
63.0,Арафат,229.9,0,2,8,Рафт Кофе,379.2,0,0,1,Не удалось узнать название,266.7,0,1,1,Не удалось узнать название,259.1,0,1,7
64.0,Не удалось узнать название,181.8,0,2,3,Крыша,358.0,0,0,3,Банковская,46.2,1,5,16,Не удалось узнать название,158.3,0,2,9
66.0,Дон Ченто,691.3,0,0,0,Ростерхит,80.9,1,1,2,улица Олега Кошевого,85.0,2,9,15,Не удалось узнать название,42.0,1,19,79
67.0,Кондитерская,642.1,0,0,0,Не удалось узнать название,381.1,0,0,2,Парк Щорса,41.7,2,2,5,Не удалось узнать название,316.2,0,0,3
68.0,Столовая,134.1,0,1,2,"Суши-бар ""суши маркет""",41.8,2,2,2,Не удалось узнать название,142.9,0,2,4,Не удалось узнать название,29.2,1,2,4
70.0,Кофе Хауз,179.4,0,10,35,Не удалось узнать название,68.2,3,43,63,Курская,54.6,3,27,41,Не удалось узнать название,89.3,1,8,25
71.0,Arabica,106.8,0,1,1,ЧебурекМи,115.5,0,1,2,Автовокзал,49.9,2,6,8,Не удалось узнать название,84.9,2,2,2
72.0,Восточный рай,435.2,0,0,1,Колокшанка,76.6,0,0,0,Улица Текстильщиков,122.9,0,2,8,Не удалось узнать название,243.6,0,1,4
74.0,Чанг Ной,340.2,0,0,1,KFC,165.0,0,1,1,Завод Энергомаш,82.5,2,8,8,Не удалось узнать название,23.3,1,6,14
76.0,Фламинго,475.3,0,0,1,Sultan Palace,242.1,0,1,3,Псковская улица,144.4,0,13,13,Не удалось узнать название,24.0,2,13,24
77.0,Мечта,87.9,1,1,2,Сушилка,344.1,0,0,2,"ТК ""Мельница""",56.8,2,6,13,Не удалось узнать название,36.1,2,4,8
78.0,Гостиный дворик,119.9,0,8,9,На Успенской,194.6,0,1,1,Сбербанк,112.3,0,3,6,Не удалось узнать название,65.2,2,5,5
79.0,Не удалось узнать название,389.6,0,0,2,Бургер Кинг,34.6,1,1,2,Городская больница,388.4,0,0,4,Не удалось узнать название,78.6,1,2,4
81.0,В кругу друзей,43.2,1,1,1,Сушишоп,122.0,0,1,1,Воробьёвская улица,101.6,0,3,4,Не удалось узнать название,44.4,4,10,14
82.0,Не удалось узнать название,16.0,1,9,17,Додо Пицца,7.9,4,13,22,Центральный офис центра «Мои документы»,138.7,0,10,19,Не удалось узнать название,136.6,0,5,21
84.0,Талаан,342.9,0,0,1,Столовая № 1,476.8,0,0,1,"ТГ ""Абослют""",89.5,1,2,8,Не удалось узнать название,548.2,0,0,0
86.0,Каштан,183.3,0,2,3,Русь,312.2,0,0,3,Не удалось узнать название,182.3,0,3,5,Не удалось узнать название,36.1,1,9,20
88.0,Бон Аппетит,115.4,0,3,4,Coffee Like,112.9,0,4,5,Училище искусств им. Василия Верещагина,142.0,0,6,11,Не удалось узнать название,47.2,2,14,27
89.0,Ока,150.5,0,2,4,Якорь,69.3,3,4,6,Не удалось узнать название,202.9,0,1,4,Не удалось узнать название,83.1,1,5,9
90.0,33 пингвина,31.5,1,1,1,Тутто Минутто Pizza,34.7,2,2,2,"ТРЦ ""Острова""",263.7,0,2,4,Не удалось узнать название,116.7,0,18,23
92.0,Не удалось узнать название,260.5,0,1,2,Ташир,306.7,0,0,5,ЖК «Ярославль-Сити»,83.6,2,4,7,Не удалось узнать название,176.9,0,10,18
93.0,Ильинка,79.9,1,2,3,Mybox,21.1,1,1,1,МЖК,73.8,4,4,7,Не удалось узнать название,25.8,2,6,7
94.0,Япония,165.3,0,1,1,Столовая,348.5,0,0,1,ТЦ «Макси»,39.1,4,4,6,Не удалось узнать название,24.8,1,1,9
96.0,Mamma Mia,29.3,4,5,7,Корова на бочке,29.0,3,8,14,11 микрорайон,95.9,2,4,11,Не удалось узнать название,34.4,3,22,56
97.0,Не удалось узнать название,52.4,2,5,7,Додо Пицца,153.8,0,3,3,Универмаг,22.7,2,3,5,Не удалось узнать название,236.4,0,2,8
98.0,Сладости и радости,678.9,0,0,0,"Семейный ресторан ""Дрова""",407.6,0,0,1,площадь Чайковского,113.8,0,5,12,Не удалось узнать название,42.6,3,4,12
99.0,Фламинго,53.6,2,16,25,Инжир,105.9,0,22,29,Областная библиотека,121.3,0,10,24,Не удалось узнать название,43.9,3,7,19
100.0,Отдых,194.1,0,1,1,Твоя кофейня,178.2,0,1,5,ДК Железнодорожников(в стор. Брянска-2),109.2,0,2,4,Не удалось узнать название,91.2,1,3,8
101.0,Лавита,218.0,0,1,1,Густав&Густав Express,51.0,2,3,3,Хабаровск I,24.4,8,20,22,Не удалось узнать название,73.5,3,7,13
102.0,Не удалось узнать название,68.8,1,4,5,Coffee Like,341.7,0,0,3,Биробиджан I,26.6,6,15,21,Такси,80.1,2,4,9
103.0,Coffee Like,22.6,1,1,4,Бургер Кинг,62.0,1,3,3,ТЦ «РИО»,168.0,0,4,6,Не удалось узнать название,151.2,0,2,26
104.0,Coffee Bean,49.8,1,6,14,Miruku,97.2,1,2,7,"улица Минаева, 15",125.9,0,11,34,Не удалось узнать название,21.1,3,26,50
106.0,Не удалось узнать название,94.1,1,3,7,Budu food,210.7,0,6,9,Железнодорожный вокзал,107.1,0,13,19,Не удалось узнать название,32.3,1,4,8
110.0,Дарья,237.0,0,1,1,San Sushi Sendo,594.5,0,0,0,Не удалось узнать название,142.8,0,1,3,Не удалось узнать название,125.8,0,5,5
113.0,Арт-Отель,369.8,0,0,1,Наше место,348.5,0,0,3,Школа №7,175.2,0,5,13,Не удалось узнать название,28.4,2,5,15
114.0,Легенда,138.3,0,1,2,Фрегат,33.9,1,2,2,Полесск,34.3,4,4,4,Не удалось узнать название,179.5,0,2,3
116.0,Ваниль,270.0,0,2,3,Kannam Chicken,567.6,0,0,0,Сластёна,322.3,0,0,3,Не удалось узнать название,249.8,0,6,11
118.0,Green Green,31.1,2,11,30,Тамаго,41.2,3,9,25,Театр Пушкина,19.1,2,7,14,Не удалось узнать название,82.3,1,11,32
119.0,Не удалось узнать название,78.6,1,1,3,Не удалось узнать название,87.3,1,1,3,Студенческая,75.2,2,2,8,Не удалось узнать название,29.7,5,11,27
122.0,Coffee teen,42.3,6,34,77,Простая еда,28.7,4,24,49,Станция метро «Площадь Габдуллы Тукая»,276.3,0,4,19,Не удалось узнать название,51.0,3,7,14
124.0,Аян,472.4,0,0,4,Не удалось узнать название,65.1,1,2,4,Ж/д вокзал,61.3,4,15,15,Не удалось узнать название,76.2,2,8,10
125.0,Не удалось узнать название,46.2,1,1,1,ЧебурекМи,631.9,0,0,0,Не удалось узнать название,73.9,1,1,1,Не удалось узнать название,42.5,2,3,4
126.0,Ваниль,156.4,0,2,3,Waffle King,374.9,0,0,2,Почта,339.9,0,0,2,Не удалось узнать название,27.6,5,8,14
127.0,Не удалось узнать название,151.0,0,1,4,Waffle King,48.2,2,2,3,Почта,311.2,0,0,2,Не удалось узнать название,237.3,0,2,13
129.0,Берег,627.8,0,0,0,Не удалось узнать название,519.6,0,0,0,"Детский сад ""Солнышко""",62.4,1,2,3,Не удалось узнать название,43.1,1,1,1
130.0,Пекин,315.5,0,0,1,Додо Пицца,494.6,0,0,1,Рынок,81.9,1,4,7,Не удалось узнать название,330.1,0,0,3
134.0,Не удалось узнать название,331.0,0,0,5,Желтик,167.6,0,1,3,Сластёна,279.2,0,1,7,Не удалось узнать название,171.9,0,5,25
135.0,Восторг,211.6,0,3,5,Кафе Фьюжн,30.6,1,3,3,Почта,156.7,0,2,2,Не удалось узнать название,49.3,2,6,24
137.0,Coffee Bean,93.9,1,6,6,Блинофф,32.5,4,18,20,Аквамолл,96.3,1,5,5,Не удалось узнать название,106.1,0,5,14
140.0,Закусочная-рюмочная,120.6,0,3,8,Coffee Like,27.0,2,10,17,Новосибирск-Главный,39.5,7,22,24,Не удалось узнать название,91.2,2,6,11
142.0,Coffee Like,566.8,0,0,0,Суши-Маркет,293.8,0,1,2,По требованию,121.9,0,8,18,Не удалось узнать название,30.5,2,40,97
143.0,Не удалось узнать название,426.5,0,0,3,Желтик,44.7,1,1,3,Сластёна,389.3,0,0,5,Не удалось узнать название,181.9,0,4,22
144.0,Чаплин,29.5,2,9,19,Coffee Like,23.5,3,13,22,улица Мира,201.3,0,7,25,Не удалось узнать название,128.7,0,4,14
145.0,кофе.com,24.6,1,2,2,Coffee Like,3.2,8,9,11,Бывалово,99.0,1,8,13,ТРЦ «Мармелад»,90.8,1,10,19
147.0,Рахат,11.9,3,11,19,ПрофТесто,149.7,0,3,18,"Улица Сущёвский Вал, 46",38.6,2,14,42,Не удалось узнать название,163.7,0,7,22
148.0,Kuzina,100.8,0,6,8,Суши маке,185.1,0,7,12,Магазин «Телевизоры»,28.5,3,14,19,Не удалось узнать название,135.7,0,4,10
149.0,Колос,244.6,0,1,2,Русский Аппетит,352.9,0,0,2,Тербуны,141.6,0,3,3,Не удалось узнать название,403.7,0,0,2
150.0,Биоферма,11.2,1,7,20,Бургер Кинг,23.2,1,7,12,Кинотеатр «Урал»,127.7,0,8,16,Не удалось узнать название,41.7,2,12,36
151.0,Gagawa,477.1,0,0,2,Шаурма по-восточному,94.4,1,2,9,ТРЦ Южный (Магазин Эдельвейс),54.5,4,10,13,Не удалось узнать название,42.5,1,5,9
152.0,Не удалось узнать название,49.4,1,4,5,Ак Батыр,103.4,0,2,10,Не удалось узнать название,205.0,0,4,11,Не удалось узнать название,287.6,0,1,6
153.0,Пенка,109.3,0,10,22,Bluberry,90.9,1,6,19,Площадь Революции,63.3,4,14,27,Не удалось узнать название,80.9,2,18,35
154.0,Кафе от Бахетле,166.7,0,7,28,Бәхетле,34.7,2,7,25,Кремлёвская,121.7,0,5,26,Не удалось узнать название,154.7,0,6,18
156.0,Coffee Like,162.5,0,3,3,Вкусно — и точка,229.3,0,2,4,Музей академика Сахарова,62.6,2,4,10,Не удалось узнать название,154.4,0,3,10
157.0,Эль Кафе,179.5,0,4,7,Шаурма,65.1,1,2,9,Дом Быта,66.3,4,8,28,Не удалось узнать название,135.6,0,5,13
159.0,СантоНоре,109.8,0,3,5,Шаурма,90.7,1,5,7,Площадь Дружбы,17.1,11,16,32,Не удалось узнать название,136.1,0,3,14
160.0,Кофейная чашка,179.7,0,4,15,MEDUZA,158.2,0,9,33,Улица Осинская,94.1,1,16,22,Не удалось узнать название,95.7,1,29,53
161.0,Coffee Like,533.7,0,0,0,Southern Fried Chicken,379.6,0,0,1,Кинотеатр «Рубин»,114.6,0,4,4,Не удалось узнать название,102.8,0,5,11
162.0,John,224.4,0,2,4,Southern Fried Chicken,147.2,0,4,8,Улица Смирнова,50.6,3,11,21,Не удалось узнать название,39.4,2,10,22
163.0,Кофейная чашка,179.7,0,4,15,MEDUZA,158.2,0,9,33,Улица Осинская,94.1,1,16,22,Не удалось узнать название,95.7,1,29,53
164.0,Вкус странствий,3.9,1,6,14,Лавка №1,134.2,0,11,27,Улица Попова,78.5,2,9,28,Не удалось узнать название,76.0,2,18,48
