id,atm_group,address_raw,address_geocoded,geo_lon,geo_lat,country,region,municipality,city,street,house,population_density_per_km2,target,is_24_7,contactless_tech,qr_codes,usd_available,eur_available,cash_in,cash_out,cashless_pay,account_statement,access_for_disabled,transfer_p2p,transfer_a2a,loan_payments,nearest_malls_dist_m,count_malls_300m,nearest_supermarkets_dist_m,count_supermarkets_300m,nearest_pharmacies_hospitals_dist_m,count_pharmacies_hospitals_300m,count_banks_atms_300m,nearest_cafes_dist_m,count_cafes_300m,nearest_restaurants_dist_m,count_restaurants_300m,nearest_public_transport_dist_m,count_public_transport_300m,nearest_parking_dist_m,count_parking_300m,nearest_education_dist_m,count_education_300m,nearest_subway_dist_m,nearest_post_offices_dist_m,count_post_offices_300m,has_subway_nearby,nearest_offices_dist_m,count_offices_100m,count_offices_300m,count_offices_500m,count_offices_1000m,count_payment_terminals_100m,count_payment_terminals_300m,count_payment_terminals_500m,count_payment_terminals_1000m,nearest_payment_terminals_dist_m,count_money_transfer_100m,count_money_transfer_300m,count_money_transfer_500m,count_money_transfer_1000m,nearest_money_transfer_dist_m,nearest_shops_food_small_dist_m,count_shops_food_small_100m,count_shops_food_small_300m,count_shops_food_small_500m,count_shops_food_small_1000m,count_hypermarkets_100m,count_hypermarkets_300m,count_hypermarkets_500m,count_hypermarkets_1000m,nearest_hypermarkets_dist_m,count_markets_100m,count_markets_300m,count_markets_500m,count_markets_1000m,nearest_markets_dist_m,nearest_fitness_sport_dist_m,count_fitness_sport_100m,count_fitness_sport_300m,count_fitness_sport_500m,count_fitness_sport_1000m,nearest_hotels_hostels_dist_m,count_hotels_hostels_100m,count_hotels_hostels_300m,count_hotels_hostels_500m,count_hotels_hostels_1000m,count_railway_stations_100m,count_railway_stations_300m,count_railway_stations_500m,count_railway_stations_1000m,nearest_railway_stations_dist_m,count_residential_buildings_100m,count_residential_buildings_300m,count_residential_buildings_500m,count_residential_buildings_1000m,nearest_residential_buildings_dist_m,count_residential_landuse_100m,count_residential_landuse_300m,count_residential_landuse_500m,count_residential_landuse_1000m,nearest_residential_landuse_dist_m,nearest_fuel_dist_m,count_fuel_100m,count_fuel_300m,count_fuel_500m,count_fuel_1000m,count_highway_pedestrian_100m,count_highway_pedestrian_300m,count_highway_pedestrian_500m,count_highway_pedestrian_1000m,nearest_highway_pedestrian_dist_m,nearest_footway_100m_dist_m,count_footway_100m_100m,count_landuse_mix_100m,count_landuse_mix_300m,count_landuse_mix_500m,count_landuse_mix_1000m,nearest_landuse_mix_dist_m,land_use_type,land_use_dist_m,city_center_dist_m,is_city_center,population,city_type,city_size_category,federal_district,macro_region,grp_per_capita_2023_rub,avg_salary_oct_2025_rub,avg_income_q3_2025_rub,is_federal_city,is_federal_district_capital
5.0,496.5,BUDENNOGO 7A              ELISTA      ,"Россия, Республика Калмыкия, Элиста, улица С.М. Будённого, 7А",44.260605,46.318231,Россия,Республика Калмыкия,городской округ Элиста,Элиста,улица С.М. Будённого,7А,3.52,0.0199583047962615,False,False,False,False,False,True,True,False,True,True,True,False,False,928.7,0,364.3,0,242.6,2,2,124.5,1,317.9,0,93.6,5,143.7,3,247.3,1,0.0,0.0,0,False,276.5,0,2,4,26,0,0,0,0,,0,0,0,0,,12.8,1,6,11,25,0,0,0,0,,0,0,0,0,,98.9,1,2,2,3,852.3,0,0,0,2,0,0,0,0,,0,0,0,0,,0,0,0,0,,294.4,0,1,1,3,0,0,0,0,,86.6,2,0,0,0,0,,industrial,144.5,1261.8,1,103600.0,regional_capital,medium,ЮФО,south,540000.0,76143.4,60000.0,False,False
6.0,496.5,"HO CHI MIHN AVE, 19       ULYANOVSK   ","Россия, Ульяновск, проспект Хо Ши Мина, 19",48.300652,54.270443,Россия,Ульяновская область,городской округ Ульяновск,Ульяновск,проспект Хо Ши Мина,19,32.09,-0.0891106194386873,False,True,False,False,False,True,True,True,True,True,True,False,False,8.7,1,16.3,9,26.2,8,2,319.6,0,362.7,0,89.9,6,,0,260.8,1,0.0,220.4,2,False,,0,0,0,0,0,0,0,0,,0,0,0,0,,49.1,1,2,4,15,0,0,0,0,,0,0,0,0,,215.7,0,1,2,4,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,1,917.7,21.5,33,0,1,6,35,198.0,residential,198.0,8328.7,0,617352.0,regional_capital,large,ПФО,central,610000.0,87942.1,70000.0,False,False
7.0,496.5,SHELESTA 116A             KHABAROVSK  ,"Россия, Хабаровск, улица Шелеста, 116А",135.052594,48.520497,Россия,Хабаровский край,городской округ Хабаровск,Хабаровск,улица Шелеста,116А,1.6,-0.0487692059789681,False,True,True,False,False,True,True,True,True,True,True,False,False,,0,17.2,2,178.0,2,2,,0,,0,33.8,8,112.9,6,0.0,0,0.0,186.6,2,False,10.1,2,2,2,4,0,0,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,0,0,0,,,0,0,0,0,455.3,0,0,1,3,0,0,0,0,,0,9,11,11,101.2,0,2,4,10,125.2,371.2,0,0,1,1,0,0,0,0,,62.9,9,0,0,0,0,,commercial,10.1,4702.0,0,610305.0,regional_capital,large,ДФО,far_east,490000.0,148263.98333333334,135440.0,False,True
8.0,496.5,ORDZHONIKIDZE 52          YAKUTSK     ,"Россия, Республика Саха (Якутия), Якутск, улица Орджоникидзе, 52",129.721308,62.025566,Россия,Республика Саха (Якутия),городской округ Якутск,Якутск,улица Орджоникидзе,52,0.31,-0.0415451611745217,False,False,False,False,False,True,True,False,True,False,True,False,False,17.2,0,379.1,0,274.9,2,2,428.6,0,225.8,1,119.8,7,246.9,4,195.4,5,0.0,167.2,1,False,59.4,1,10,27,58,0,0,0,0,,0,0,0,0,,220.5,0,1,7,16,0,0,0,0,,0,0,0,1,954.8,714.6,0,0,0,6,710.2,0,0,0,6,0,0,0,0,,0,15,21,64,109.4,0,0,1,3,385.6,,0,0,0,0,0,0,0,4,594.4,,0,0,1,3,17,286.0,industrial,286.0,595.2,1,355379.0,regional_capital,medium,ДФО,far_east,1800000.0,130000.0,95000.0,False,False
10.0,496.5,"VETERANOV AVE, 3          KRASNOKAMENS","Россия, Забайкальский край, Краснокаменск, проспект Ветеранов, 3",118.02748,50.090714,Россия,Забайкальский край,Краснокаменский муниципальный округ,Краснокаменск,проспект Ветеранов,3,2.28,0.025479412289185,False,False,False,False,False,True,True,False,True,True,True,False,False,,0,336.8,0,179.3,4,4,304.7,0,7.3,2,70.6,3,48.3,5,,0,,,0,False,,0,0,0,0,0,0,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,1,2,2,275.1,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,0,,0,0,0,0,,694.8,0,0,0,1,1,3,3,10,30.5,22.5,3,0,0,0,0,,commercial,147.9,,0,,,,СФО,siberia,623859.6666666666,96647.95,38000.0,False,False
12.0,496.5,MIRA 6                    KOSTROMA    ,"Россия, Кострома, проспект Мира, 6",40.930847,57.769478,Россия,Костромская область,городской округ Кострома,Кострома,проспект Мира,6,9.9,-0.0899085646576374,True,True,True,False,False,True,True,True,True,True,True,False,False,544.6,0,408.8,0,111.8,6,4,99.6,7,147.7,10,104.4,11,130.5,12,261.8,2,0.0,170.4,1,False,157.8,0,9,33,52,0,0,0,0,,0,0,0,0,,151.3,0,2,3,3,0,0,0,0,,0,0,1,3,456.2,217.0,0,1,2,2,57.9,2,2,3,13,0,0,0,0,,0,1,2,59,283.3,0,3,10,39,111.8,,0,0,0,0,2,2,3,4,43.8,129.6,0,0,3,13,45,111.8,commercial,157.8,291.6,1,268742.0,regional_capital,medium,ЦФО,central,1080887.5,122661.03333333333,102500.0,False,False
13.0,496.5,KOMMUNARSKIY 18           BIYSK       ,"Россия, Алтайский край, Бийск, Коммунарский переулок, 18",85.221734,52.540568,Россия,Алтайский край,городской округ Бийск,Бийск,Коммунарский переулок,18,13.35,-0.05035007441799,False,True,True,False,False,True,True,True,True,True,True,False,False,508.1,0,29.6,2,16.6,3,7,12.1,3,96.3,1,85.0,4,36.5,3,0.0,0,0.0,204.4,1,False,29.7,4,4,6,10,0,0,0,0,,0,0,0,0,,135.6,0,4,4,4,0,0,0,0,,0,0,0,1,683.3,,0,0,0,0,892.1,0,0,0,1,0,0,0,0,,0,0,0,0,,0,0,0,0,,993.4,0,0,0,1,0,0,0,0,,93.5,2,0,0,0,0,,commercial,39.0,481.1,1,,,,СФО,siberia,623859.6666666666,96647.95,38000.0,False,False
14.0,496.5,K.LIBKNEKHTA 13           ZHUKOVKA    ,"Россия, Брянская область, Жуковка, улица Карла Либкнехта, 15",33.719225,53.530257,Россия,Брянская область,Жуковский муниципальный округ,Жуковка,улица Карла Либкнехта,15,32.15,-0.0919098487755485,False,False,False,False,False,True,True,False,True,True,True,False,False,,0,214.3,1,5.8,6,1,534.2,0,269.9,1,155.4,4,559.7,0,156.6,2,0.0,35.4,1,False,142.0,0,1,5,29,0,0,0,0,,0,0,0,0,,3.0,3,5,7,21,0,0,0,0,,0,0,0,1,936.2,,0,0,0,0,,0,0,0,0,0,0,0,0,,0,0,0,1,928.8,1,6,21,72,75.8,,0,0,0,0,0,0,0,17,507.9,8.1,25,2,9,26,96,19.9,commercial,142.0,51325.1,0,,,,ЦФО,central,1080887.5,122661.03333333333,102500.0,False,False
15.0,496.5,LENINA 185                DYATKOVO    ,"Россия, Брянская область, Дятьково, улица Ленина, 185",34.332083,53.60189,Россия,Брянская область,Дятьковское городское поселение,Дятьково,улица Ленина,185,32.15,-0.0522853877145313,True,True,True,False,False,True,True,True,True,True,True,False,False,177.2,1,87.2,4,372.1,0,0,103.9,2,400.5,0,94.7,2,164.2,2,,0,,,0,False,417.8,0,0,1,2,0,0,0,0,,0,0,0,0,,115.8,0,1,2,3,0,0,0,0,,0,1,1,1,138.3,,0,0,0,0,581.6,0,0,0,1,0,0,0,0,,1,2,32,186,91.9,0,0,0,0,,187.9,0,1,1,1,0,0,0,1,910.3,90.3,1,0,4,13,57,138.3,commercial,138.3,35984.5,0,,,,ЦФО,central,1080887.5,122661.03333333333,102500.0,False,False
16.0,496.5,"III INTERNATSIONALA,10    PETUSHKI    ","Россия, Владимирская область, Петушки, улица 3-го Интернационала, 10",39.456783,55.93665,Россия,Владимирская область,Петушинский муниципальный округ,Петушки,улица 3-го Интернационала,10,45.73,-0.0075570235493654,False,False,False,False,False,True,True,False,True,True,True,False,False,23.8,1,16.3,2,21.7,2,0,245.5,1,28.6,1,205.8,1,28.7,10,242.4,1,0.0,220.7,1,False,13.3,1,2,4,4,0,0,0,0,,0,0,0,0,,,0,0,0,0,0,0,0,0,,0,1,1,1,292.9,,0,0,0,0,385.2,0,0,1,3,0,0,0,0,,0,0,0,0,,0,3,13,43,103.0,,0,0,0,0,0,0,0,0,,,0,0,4,15,45,103.0,residential,103.0,32371.2,0,,,,ЦФО,central,1080887.5,122661.03333333333,102500.0,False,False
